FCG J001208.3-105043   00 12 08.373  -10 50 43.35   1.77                                 001497                      
FCG J001357.0-091953   00 13 57.093  -09 19 53.08   1.07                                 001760                      
FCG J003247.6-001938   00 32 47.626  -00 19 38.74   1.16                                 004090                      bs
FCG J004030.9-100132   00 40 30.995  -10 01 32.34   1.92                                 005041                      bs
FCG J004151.4-092547   00 41 51.461  -09 25 47.99   0.64                                 005236                      nat int
FCG J005642.5-105153   00 56 42.586  -10 51 53.23   2.43                                 007070                      
FCG J011828.6+011420   01 18 28.604  +01 14 20.03   0.69                                 009687                      mg
FCG J012312.5-102514   01 23 12.567  -10 25 14.78   1.15                                 010303                      
FCG J014249.1-000035   01 42 49.111  -00 00 35.54   1.06                                 012687                      
FCG J020241.7+001522   02 02 41.783  +00 15 22.91   1.21                                 015352                      
FCG J025129.9+003921   02 51 29.960  +00 39 21.86   1.07                                 023088                      
FCG J072906.3+322640   07 29 06.383  +32 26 40.07   0.81                                 039264                      
FCG J074618.0+452632   07 46 18.006  +45 26 32.93   1.67                                 050782                      hymor
FCG J075830.3+161731   07 58 30.398  +16 17 31.90   0.74                                 060183                      sz?
FCG J075912.2+405156   07 59 12.267  +40 51 56.16   1.22                                 060727                      
FCG J080442.4+580934   08 04 42.446  +58 09 34.95   1.77                                 065190                      beautiful
FCG J083817.9+240449   08 38 17.990  +24 04 49.50   0.51                                 097620                      
FCG J084823.6+292515   08 48 23.671  +29 25 15.93   0.57                                 108288                      
FCG J085549.0+420418   08 55 49.037  +42 04 18.80   2.17                                 116159                      sz? wat? w wiggle
FCG J090131.4+121211   09 01 31.459  +12 12 11.76   0.90                                 122399                      
FCG J090207.2+570732   09 02 07.216  +57 07 32.51   1.66                                 123045                      
FCG J091059.0+034532   09 10 59.078  +03 45 32.11   0.55                                 132872                      sz?
FCG J091134.7+125538   09 11 34.797  +12 55 38.16   0.70                                 133530                      x? sz?
FCG J091220.1+081040   09 12 20.189  +08 10 40.58   0.72                                 134440                      
FCG J091419.0+100635   09 14 19.023  +10 06 35.59   0.79                                 136584                      
FCG J092743.6+293232   09 27 43.659  +29 32 32.96   1.91                                 151395                      
FCG J092841.8-031958   09 28 41.841  -03 19 58.37   0.65                                 152558                      
FCG J093007.5+593031   09 30 07.572  +59 30 31.33   0.60                                 154109                      
FCG J094219.2+271033   09 42 19.265  +27 10 33.13   1.24                                 167572                      sz? int, varied component silhouettes
FCG J094807.0+575848   09 48 07.021  +57 58 48.61   1.10                                 174040                      
