Name,RA,Dec,z,Scale(kpc,arcsec-1),Distance(Mpc),V,sigma
UGC 05353,09:58:40.09,+28:52:39.22,0.021,0.417,92,492.1,306.9
2MASX J13245059+1758152,13:24:50.59,+17:58:15.04,0.079,1.711,381,534.6,103.3
2MASX J13490964+0404487,13:49:09.64,+04:04:48.87,0.085,1.582,351,445.3,206.3
2MASX J16170895+2226279,16:17:08.95,+22:26:27.00,0.065,1.313,284,450.6,134.7
2MASX J16441390+2528286,16:44:13.90,+25:28:28.60,0.055,1.113,238,463.7,243.1
2MASX J23044283-0933454,23:04:42.83,-09:33:45.40,0.032,0.645,130,307.8,139.0
SDSS J233604.04+000447.1,23:36:04.04,+00:04:47.10,0.076,1.532,327,472.0,166.2
2MASX J09120164+5320369,09:12:01.68,+53:20:36.90,0.101,2.033,454,418.4,208.7
SDSS J100602.13+071130.9,10:06:02.13,+07:11:30.90,0.121,2.407,550,596.7,166.4
SDSS J110215.68+290725.2,11:02:15.68,+29:07:25.24,0.106,2.111,476,417.2,215.2
SDSS J132318.81+030807.1,13:23:18.82,+03:08:07.13,0.269,5.353,1327,465.2,213.7
SDSS J135558.08+001530.6,13:55:58.09,+00:15:30.60,0.134,2.668,612,531.6,284.9
2MASX J14131625+2119374,14:13:16.25,+21:19:37.47,0.172,3.444,806,427.7,237.1
2MASX J14203147+4008166,14:20:31.51,+40:08:15.97,0.210,4.207,1005,461.0,233.0
2MASX J14454130+3341080,14:45:41.30,+33:41:07.86,0.131,2.615,595,494.5,172.0
2MASX J15001769+1051100,15:00:17.73,+10:51:09.81,0.170,3.404,795,443.5,200.0
B31459+399NED01,15:01:02.57,+39:42:00.07,0.355,7.077,1828,565.5,163.7
2MASX J15042218+4741116,15:04:22.21,+47:41:12.06,0.093,1.868,413,418.5,260.9
SDSS J160027.78+083743.0,16:00:27.78,+08:37:43.00,0.226,4.518,1089,418.2,211.6
