Name,Selection Method,Confirmation Method,RAdeg,DEdeg,Num_comp,i_mag,Sep(as),Rank,Gmag1,Gmag2,Gmag3,Notes
000815-043634,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",2.061059,-4.609377,2,18.57,2.4,C,18.82,20.09,,similar colour p-l; both components negligible AEN; p; and pm 
003309-120520,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",8.287252,-12.088925,3,18.10,6.8,C,18.93,20.38,,p-l (both negligible AEN; pm; and p) + red inner component
004106+032726,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",10.273022,3.457205,2,18.43,2.4,C,18.91,20.36,,p-l; includes SDSS z=1.282 QSO; both negligible AEN; pm; and p
004518+405433,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",11.325876,40.909217,2,18.69,3.1,C,19.32,18.85,,similar colour p-l; includes z=1.228 QSO (Huo et al. 2013); both negligible AEN; pm; and p
012221+291431,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",20.587958,29.242069,2,18.30,2.4,C,18.41,20.72,,similar colour p-l; one component negligible AEN; pm; and p; companion has no Gaia pm and p 
012256+783855,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",20.733302,78.648546,2,18.43,2.0,C,18.94,18.99,,similar colour p-l; both negligible AEN; pm; and p
012648+411136,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",21.698143,41.193204,2,19.13,3.1,C,19.26,20.15,,similar colour p-l; both negligible AEN; pm; and p
013021+072516,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",22.585897,7.421231,2,18.80,2.0,C,18.98,19.65,,p-l; one component negligible AEN; pm; and p; companion has no Gaia pm and p
014114-062740,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",25.307825,-6.461006,2,19.05,2.4,C,20.79,,,similar colour p-l; only one has Gaia data; negligible AEN; pm; and p 
014455+271137,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",26.230638,27.193616,2,19.01,1.9,C,19.53,19.63,,similar colour p-l; both negligible AEN; pm; and p
014912+422843,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",27.299792,42.478624,2,17.85,2.8,C,17.99,18.82,,similar colour p-l; both AEN; negligible pm and p 
015417+433319,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",28.571648,43.555321,2,18.05,2.7,C,18.92,18.28,,similar colour p-l; both negligible AEN; pm; and p
022205-234144,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",35.521817,-23.69567,2,18.99,2.1,C,18.96,20.45,,similar colour p-l; both negligible AEN; pm; and p
022958+032031,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",37.492401,3.341935,2,18.02,2.1,C,18.15,18.79,,similar colour p-l; both negligible AEN; pm; and p
024245-100257,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",40.688737,-10.049076,2,18.43,2.4,C,18.73,19.50,,similar colour p-l; both negligible AEN; pm; and p
024950+260651,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",42.459532,26.114096,2,18.56,3.2,C,18.81,20.15,,similar colour p-l; both negligible AEN; pm; and p
042022-101932,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",65.092136,-10.325513,2,18.54,3.2,B,,,,extended + p-l; no Gaia data
045048-280957,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",72.701208,-28.165922,2,18.95,5.0,C,18.87,19.07,,similar colour p-l; both negligible AEN; pm; and p
051623-043755,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",79.096146,-4.631812,2,18.20,3.0,C,18.48,18.47,,p-l; both negligible AEN; pm; and p 
052026-045245,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",80.10733,-4.879078,2,19.30,2.4,C,19.57,19.65,,similar colour p-l; both negligible AEN; pm; and p
052902-032948,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",82.260144,-3.496646,2,19.27,1.4,C,19.84,20.37,,similar colour p-l; both negligible AEN; pm; and p
061215-193928,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",93.063509,-19.657707,2,17.49,2.2,C,18.26,20.34,,similar colour p-l (both negligible AEN; pm; and p) + red companion; included in the Delchambre et al. (2019) Gaia clusters catalogue 
063019-264851,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",97.580318,-26.814116,3,18.58,3.4,C,18.99,19.05,19.54,p-l; all have negligible AEN; pm; and p; included in the Delchambre et al. (2019) Gaia clusters catalogue 
064505+505755,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",101.269368,50.965199,2,18.84,3.0,C,19.56,19.14,,similar colour p-l; both negligible AEN; pm; and p
064519+380712,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",101.327789,38.119957,2,17.3,2.4,B,18.50,17.63,,similar colour p-l; both negligible pm and p
070249+530654,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",105.704772,53.114994,2,19.05,2.5,C,19.05,19.65,,p-l; both negligible AEN; pm; and p 
073017+152842,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",112.570702,15.4782,2,18.52,2.2,C,19.40,18.78,,similar colour p-l; both negligible AEN; pm; and p
081357+103304,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",123.486422,10.551007,2,18.62,2.7,C,18.97,18.70,,similar colour p-l; includes SDSS z=0.799 QSO; SQLS candidate; both negligible AEN; pm; and p 
081806+524732,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",124.523269,52.792161,2,17.66,3.3,C,18.96,17.82,,similar colour p-l; includes SDSS z=1.793 QSO; SQLS candidate; both negligible AEN; pm; and p 
085254-014850,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",133.223992,-1.813836,2,18.56,3.2,C,18.51,19.94,,similar colour p-l; both have negligible AEN; pm; and p 
