Name,Selection Method,Confirmation Method,RAdeg,DEdeg,Num_comp,i_mag,Sep(as),Rank,Confirmation_flag,Notes
013459+243049,Mid-IR Colors / Optical Imaging / Optical Colors,Optical Spectroscopy / Fiber Optical Spectroscopy,23.745589,24.513635,2,19.40,3.7,C,1,G=19.60; 20.17; p-l; two SDSS QSOs at z=2.093 and z=2.104
014710+463043,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",26.792452,46.512081,2,15.57,3.2,A,1,G=15.89; 16.18; 16.74; 18.26; similar colour p-l sources; PSJ0147+4630 (quad; Berghea et al. 2017)
024526-055700,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",41.356685,-5.950128,2,18.67,1.7,C,1,G=19.73; 19.25; similar colour p-l + red inner component; DESJ0245-0556 (double; Agnello et al. 2018b)
025934-233802,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",44.889982,-23.633792,2,19.21,2.7,B,1,G=20.34; 19.37; p-l + red inner component; PSJ0259-2338 (double; Lemon et al. 2018)
094235+231030,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",145.645825,23.175133,2,18.87,2.4,C,1,G=19.10; 19.92; similar colour p-l; z=1.83 QSO pair (Findlay et al. 2018)
110633-182124,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",166.639282,-18.356688,2,16.95,3.1,C,1,G=17.07; 18.20; similar colour p-l; HE1104-1805 (double; Wisotzki et al. 1993)
110932+531636,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",167.384487,53.276552,2,18.71,3.2,C,1,G=18.97; 19.68; similar colour p-l; includes SDSS z=0.982 QSO; SQLS QSO pair
113441-210323,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",173.668953,-21.056307,3,16.81,3.7,A,1,G=17.17; 17.19; 18.94; 17.27; four p-l sources; 2M1134-2103 (quad; Lucey et al. 2018)
120451+442836,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",181.210712,44.47659,2,18.84,3.0,B,1,G=18.81; 19.65; similar colour p-l; SQLS QSO at z=1.84 and z=1.14
120630+433219,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",181.623684,43.538734,2,18.52,3.0,B,1,G=18.87; 18.84; similar colour p-l + red component; SDSSJ1206+4332 (double; Oguri et al. 2005)
120659-254331,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",181.744763,-25.725376,2,19.41,2.1,B,1,19.97; 20.40; similar colour p-l; both have negligible AEN; pm; and p; double; discovered; and confirmed independently by C. Lemon; private communication
124614+503049,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",191.556942,50.513634,2,19.22,2.4,C,1,G=19.31; 19.50; similar colour p-l; SDSS quasar pair z=2.73; 2.11
132100+164403,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",200.246658,16.734072,3,18.51,8.8,B,1,G=18.66; 19.46; similar colour p-l + red component; SDSSJ1320+1644 (double or binary quasar; Rusu et al. 2013)
