J011802.94-082647.2  0.137  350 43.69 2.  m 0.13771 0.13713
J012613.31+142013.4  0.573  580 44.35 2.  g 0.57338
J020011.52-093126.1  0.361  200 44.49 1.  m 0.36077
J072554.42+374436.9  0.634  250 44.81 1.  m 0.63500
J074129.66+392835.9  0.210  480 43.63 2.  m 0.21059 0.20982
J080315.67+483603.1  0.635  280 44.86 1.  m 0.63576
J080841.21+481351.9  0.123  340 43.38 2.  m 0.12388 0.12359
J081507.41+430427.0  0.510  500 44.09 1.  g 0.51014
J081542.53+063522.9  0.244  280 44.12 1.  m 0.24428
J082357.80+391630.9  0.166  700 43.67 1.  m 0.16774 0.16630
J082857.99+074255.7  0.554  300 44.07 2.  g 0.55475
J084049.46+272704.7  0.136  580 43.32 2.  m 0.13706 0.13559
J090246.93+012028.2  0.513  240 43.88 2.  m 0.51408
J090615.92+121845.6  0.644  200 45.23 1.  g 0.64410
J090947.85+312443.6  0.264 1050 44.41 1.  g 0.26449
J090958.32+085542.2  0.158  240 43.20 2.  m 0.15830 0.15869
J091110.19+140632.6  0.387  350 44.87 1.  g 0.38744
J091459.25+210219.6  0.133  540 43.32 2.  g 0.13418 0.13335
J091649.41+000031.5  0.222  310 43.47 1.  m 0.22307 0.22223
J091654.09+521723.0  0.219  315 43.70 1.  m 0.21998
J092152.46+515348.0  0.587  440 44.06 2.  m 0.58806
J092455.24+051052.0  0.149  410 43.85 2.  m 0.15005 0.15042
J094100.81+143614.4  0.383  870 44.20 2.  m 0.38493
J094144.83+575123.6  0.159  300 43.69 1.  g 0.15924 0.15866
J094205.83+125433.6* 0.154  680 43.95 2.  g 0.15443 0.15420
J094236.68+192541.1  0.540  480 45.23 1.  g 0.54249
J095207.62+255257.2  0.339  475 44.35 1.  g 0.33986 0.33892
J100145.30+283330.3* 0.114  550 43.15 2.  g 0.11543 0.11550
J100708.01+242039.0  0.544  250 44.62 1.  g 0.54497
J101034.28+372514.7  0.282 1400 43.98 1.  g 0.28228
J101241.20+215556.0  0.111  210 43.51 1.  m 0.11126 0.11069
J102004.36+324342.5  0.484  340 44.26 1.  g 0.48484
J102038.74+212806.5  0.137  660 42.53 2.  m 0.13925
J102045.58+030306.9  0.535  260 44.54 1.  m 0.53540
J102727.90+305902.4  0.124  360 43.81 2.  g 0.12488 0.12451
J103138.67+380651.7  0.492  730 44.82 1.  g 0.49211
J103326.92+284751.0  0.591  390 44.66 2.  g 0.59217
J103752.23+312500.3  0.160  900 43.66 2.  m 0.16275 0.16020
J104257.96+385347.2  0.107  440 43.38 2.  g 0.10716 0.10661
J105104.54+625159.3  0.436  360 44.99 1.  m 0.43734
J111013.20+053338.8  0.152  830 43.46 2.  m 0.15271
J111710.07+333950.3  0.128  560 43.69 2.  m 0.12809 0.12786
J112019.61+130320.0  0.314  600 44.13 1.  m 0.31486
J112319.21+302825.4  0.522  480 43.50 2.  g 0.52294
J112507.33+023719.1  0.260  400 43.92 2.  m 0.26095 0.25989
J112634.84+455935.7  0.278  300 43.86 2.  m 0.27884 0.27849
J112939.78+605742.6  0.112  550 43.61 2.  g 0.11276 0.11171
J113020.99+022211.5  0.241  330 44.19 1.  m 0.24194
J113045.33+505509.1  0.592  270 44.69 1.  m 0.59207
J113105.07+610405.1  0.338  330 44.48 1.  m 0.33767
J113257.84+604653.6  0.233  330 43.44 1.  g 0.23330
J114852.65+151415.8  0.113  260 43.49 1.  m 0.11405 0.11325
J114908.49+144547.0  0.595  200 44.67 1.  m 0.59668
J115106.69+471157.7  0.318  490 44.62 1.  m 0.31794
J115523.74+150756.9  0.287  560 44.40 1.  g 0.28769
J115713.07+515511.5  0.564  220 44.78 2.  g 0.56505
J115714.97+081632.0* 0.201  420 43.70 1.  g 0.20205 0.20122
J120240.68+263138.6  0.476  450 45.21 1.  g 0.47806
J120343.22+283557.8  0.374  850 44.21 1.  g 0.37662
J120526.04+321314.6  0.485  670 43.75 2.  g 0.48684
J120704.51+384024.7  0.572  390 44.81 1.  g 0.57316
J120725.59+460205.1  0.213  490 43.60 2.  m 0.21485 0.21331
J121607.34-021417.7  0.100  300 43.64 1.  m 0.10117
J121659.94+323106.0  0.125  210 43.79 1.  m 0.12595 0.12554
J121756.47+380022.7  0.214  680 43.86 1.  m 0.21485 0.21466
J121911.16+042905.9  0.555  480 44.75 1.  g 0.55757
J122709.83+124854.5  0.194  670 43.60 2.  g 0.19542 0.19389
J123605.45-014119.1  0.211  330 43.65 2.  g 0.21201 0.21110
J123915.40+531414.6  0.201  800 43.96 1.  g 0.20359 0.20200
J124046.63+512902.1  0.597  260 44.12 1.  g 0.59816
J124504.19+372300.1* 0.279  550 43.52 2.  g 0.27966 0.28052
J124813.82+362423.6  0.207  350 43.94 1.  g 0.20772 0.20690
J124859.72-025730.7  0.487  345 44.60 1.  g 0.48772
J124928.36+353926.8  0.527  380 44.00 2.  g 0.52923
