Name,RA,Dec,MJD,Plate,Fiber,z_NL,z_BL,Method,Class
J0012-1022,00:12:24.03,-10:22:26.3,52141,0651,072,0.228,0.221,QG;QQ,A
J0155-0857,01:55:30.02,-08:57:04.0,52168,0665,597,0.165,0.170,QQ,O
J0221+0101,02:21:13.15,+01:01:02.9,51869,0406,374,0.354,0.364,QG;QQ,O
J0829+2728,08:29:30.60,+27:28:22.7,52932,1267,066,0.321,0.325,GQ,O
J0918+3156,09:18:33.82,+31:56:21.2,52990,1592,139,0.452,0.457,QQ;GQ,D
J0919+1108,09:19:30.32,+11:08:54.0,53050,1740,399,0.369,0.372,QQ,O
J0921+3835,09:21:16.13,+38:35:37.6,52731,1214,293,0.187,0.182,QQ,A
J0927+2943,09:27:12.65,+29:43:44.1,53389,1939,467,0.713,0.698,QG;QQ,B
J0931+3204,09:31:39.05,+32:04:00.2,53386,1941,553,0.226,0.226,QQ;GQ,O
J0932+0318,09:32:01.60,+03:18:58.7,52254,0568,039,0.420,0.401,QQ,B;D
J0936+5331,09:36:53.85,+53:31:26.9,52281,0768,473,0.228,0.237,QQ,A
J0942+0900,09:42:15.12,+09:00:15.8,52757,1305,281,0.213,0.168,GQ,E
J0946+0139,09:46:03.95,+01:39:23.7,51989,0480,480,0.220,0.227,QQ,A
J1000+2233,10:00:21.80,+22:33:18.6,53737,2298,102,0.419,0.377,GQ,E;B
J1010+3725,10:10:34.28,+37:25:14.8,52993,1426,110,0.282,0.276,QG;QQ,O
J1012+2613,10:12:26.86,+26:13:27.3,53757,2347,513,0.378,0.351,QQ,E;B
J1027+6050,10:27:38.54,+60:50:16.5,52375,0772,216,0.332,0.301,QQ,E
J1050+3456,10:50:41.36,+34:56:31.4,53431,2025,603,0.272,0.258,QQ;GQ,B
J1105+0414,11:05:39.64,+04:14:48.2,52356,0581,226,0.436,0.406,GQ,E
J1117+6741,11:17:13.91,+67:41:22.7,51942,0491,402,0.248,0.253,GQ,O
J1154+0134,11:54:49.42,+01:34:43.6,52051,0515,099,0.469,0.450,QQ,A;B
J1207+0604,12:07:55.83,+06:04:02.8,52376,0842,530,0.136,0.128,GQ,O
J1211+4647,12:11:13.97,+46:47:12.0,53116,1449,001,0.294,0.287,QQ;GQ,O
J1215+4146,12:15:22.78,+41:46:21.0,53120,1450,141,0.196,0.206,QQ;GQ,O
J1216+4159,12:16:09.60,+41:59:28.4,53120,1450,130,0.242,0.233,GQ,O
J1328-0129,13:28:34.15,-01:29:17.6,52426,0911,333,0.151,0.140,QQ;GQ,O
J1414+1658,14:14:42.03,+16:58:07.2,54523,2758,014,0.237,0.242,QQ,O
J1440+3319,14:40:05.31,+33:19:44.5,53498,1646,283,0.179,0.165,GQ,D
J1536+0441,15:36:36.22,+04:41:27.0,54567,1836,270,0.389,0.373,QG;QQ,D;B
J1539+3333,15:39:08.09,+33:33:28.0,52823,1355,572,0.226,0.199,QG;QQ,O;B
J1652+3123,16:52:55.90,+31:23:43.8,52790,1343,593,0.593,0.590,QG;QQ;GQ,O
J1714+3327,17:14:48.51,+33:27:38.3,54591,2973,190,0.181,0.186,QQ,O;B
