HE 0047-1756           0047-17  1.67  0.408   1.44  78,87
PKS 0132-097           0132-09  2.216 0.764   0.7   14,18,68
UM 673                 0142-10  2.719         2.2   60
CTQ 414                0156-43  1.294 0.317   1.2   46,101
B2 0218+35             0218+35  0.936         0.33  15
HE 0230-2130           0230-21  2.162 0.522   2.0   72,87
Q J0240-343            0238-34  1.406         6.1   62
SDSS J02465-0825       0244-08  1.684         1.04  85
PKS 0411+05            0411+05  2.639 0.958   2.2   34,64
HE 0435-1223           0435-12  1.689 0.456   2.6   73,80
HE 0512-3329           0512-33  1.565 0.931   0.6   12
B 0712+472             0712+47  1.339         1.27  8
SDSS J07402+2926       0737+29  0.980         2.6   84
SDSS J07468+4403       0743+44  1.998         1.08  89
MG 0751+2716           0748+27  3.200 0.350   0.8   64
SDSS J08063+2006       0803+20  1.540         1.50  13,102
HS 0810+25             0810+25  1.500         0.25  55
SDSS J08192+5356       0816+54  2.237 0.294   4.04  99
SDSS 08202+0812        0817+08  2.024 0.803   2.3   103
HS 0818+1227           0818+12  3.115         2.1   16
CLASS B0827+525        0827+52  2.064         2.8   31
APM 08279+5255         0827+52  3.87          0.4   35
SDSS J08322+0404       0829+04  1.115         2.0   94
SDSS 09035+5028        0900+50  3.584 0.388   2.8   28
RX J0911.4+0551        0908+06  2.800         0.8   1
SBS 0909+532           0909+53  1.377 0.830   1.11  30,39
1WGA J09212+4528       0917+45  1.66  0.31    6.93  51
SDSSp J09249+0219      0922+02  1.524 0.393   1.8   26,87,88
FBQS J0951+2635        0948+26  1.24          1.1   56
BRI 0952-01            0952-01  4.43          0.95  43
Q 0957+561             0957+56  1.414 0.355   6.1   11,65
SDSS J10014+5027       0958+50  1.838         2.86  83
FIRST J10044+1229      1001+12  2.65          1.54  32
RXS J10045+4112        1001+41  1.734 0.680  14.6   76,100
Q 1009-0252            1009-02  2.74  0.871   1.55  21,87
J 13.03                1015-20  2.55          0.84  61
SDSS J10211+4913       1018+49  1.720         1.14  74
IRAS F10214+4724       1021+47  2.286 0.896         57
SDSS J10292+2623       1026+26  2.197        22.5   92
B 1030+074             1030+07  1.535         1.56  8
SDSS J10353+0752       1032+08  1.215         2.7   84
HE 1104-1805           1104-18  2.303 0.729   3.0   37,70
PG 1115+080            1115+08  1.722 0.311   2.3   63,66
HE 113-0641            1113-06  1.235         0.67  97
SDSS J11202+6711       1117+67  1.494         1.5   84
UM 425                 1120+01  1.465         6.5   44
SDSS J11249+5710       1122+57  2.311         2.2   84
1RXS J11319-1231       1129-12  0.658 0.295   4.2   58
SDSS J11381+6807       1135+68  0.769         2.6   84
SDSS J11380+0314       1135+03  2.442         1.44  100
TEX 1152+199           1152+19  1.019 0.439   1.6   52
SDSS J11552+6346       1152+64  2.89  0.176   1.8   75
CSO 1270               1203+43  1.789 0.748   2.90  83
Q 1208+1011            1208+10  3.803         0.45  41
SDSS J12167+3529       1214+35  2.012         1.5   94
SDSS J12261-0006       1223+00  1.121         1.24  100
SDSS J12511+2935       1248+29  0.802 0.410   1.79  95
SDSS J12543+2235       1251+22  3.626         1.56  99
SDSS J12583+1657       1255+17  2.701         1.28  99
SDSS J13139+5151       1311+52  1.875         1.24  96
SDSS J13226+1052       1320+11  1.716         2.0   94
SDSS J13323+0347       1329+04  1.445         1.14  90
Q 1333+0133            1333+01  1.577         1.6   81
SDSS J13531+1138       1350+11  1.629         1.41  13
87GB 1359+1527         1359+15  3.235         1.7   52
SDSS J14002+3134       1357+31  3.317         1.74  99
SDSS J14064+6126       1404+61  2.134         1.98  89
H 1413+117             1413+11  2.546         1.4   40
HST J14176+5226        1415+52  3.4           3.2   5
B 1422+231             1422+23  3.62  0.339   1.3   53,63
SDSS J15087+3328       1506+33  0.878         2.9   84
SBS 1520+530           1520+53  1.855 0.717   1.6   3,4
SDSS J15247+4409       1523+44  1.210         1.7   94
Q 1600+434             1600+43  1.61          1.38  27
PMN J1632-0033         1630-00  3.424         1.46  69
FIRST J1633+3134       1631+31  1.516         0.66  48
KP 1634.9+26.7         1634+26  1.961         3.8   59
SDSSp J16507+4251      1649+42  1.541         1.16  49
MC 1830-211            1830-21  2.507 0.885   0.60  36,38
TEX 1835-345           1835-34  2.78          1.0   67
MG 2019+1127           2016+11  3.273         3.4   33
WFI J2026-4536         2022-45  2.237         1.4   77
WFI J2033-4723         2030-47  1.661 0.658   2.5   77,87
87GB 20451+2632        2045+26  1.28  0.867   1.9   9
Q 2138-431             2138-43  1.641         4.5   19
HE 2149-2745           2149-27  2.033         1.7   71
Q 2237+0305            2237+03  1.695 0.039   1.8   24
SDSS J23431-0050       2340-01  0.788         1.4   98
