SDSS J000249+004504 0.08662 5.0E-5 5.18 0.07 3.76 0.05  662 13  731  13 0.13
SDSS J000656+154847 0.12515 2.0E-5 3.30 0.10 3.14 0.09  618 19  498  19 0.10
SDSS J013555+143529 0.07208 2.0E-5 2.35 0.08 2.30 0.05  586 17  328  15 0.14
SDSS J014209-005049 0.13253 2.0E-5 1.20 0.12 2.94 0.17  360 28  377  28
SDSS J015605-000721 0.08084 2.0E-5 2.77 0.08 2.67 0.10  545 18  427  18
SDSS J073509+403624 0.10297 2.0E-5 1.99 0.11 2.35 0.04  686 25  640  24
SDSS J074729+344018 0.12982 2.0E-5 3.27 0.10 2.11 0.13   57  4   69   4
SDSS J074953+451454 0.03132 1.0E-5 1.97 0.09 2.35 0.07  746 31  796  31
SDSS J075223+273643 0.06908 2.0E-5 2.24 0.05 2.42 0.03  747 16  980  16 0.03
SDSS J080218+304622 0.07654 3.0E-5 2.99 0.04 3.02 0.04 2002 31 2575  32 0.02
SDSS J080418+305157 0.14553 2.0E-5 3.25 0.06 4.83 0.03  210  4  198   4 0.61
SDSS J080740+390015 0.02346 1.0E-5 5.44 0.06 4.72 0.07 1762 26 1529  25
SDSS J080841+481351 0.12365 4.0E-5 4.82 0.16 1.85 0.12  414 23  654  23 0.18
SDSS J081430+265729 0.07874 4.0E-5 3.04 0.06 2.22 0.06  430 15  593  16 0.09
SDSS J082107+502115 0.09534 3.0E-5 2.85 0.16 2.85 0.09  281 15  312  14
SDSS J085416+502631 0.09553 4.0E-5 2.32 0.04 3.16 0.03  502  9  520   9 0.25
SDSS J085512+642345 0.03621 1.0E-5 2.52 0.07 2.26 0.06  372 11  338  11
SDSS J085841+104122 0.14810 5.0E-5 3.31 0.05 3.25 0.04  863 11  653  11 0.69
SDSS J094124+394441 0.10750 3.0E-5 2.68 0.08 2.10 0.07  774 32 1218  33 0.29
SDSS J094427+144717 0.07744 2.0E-5 4.59 0.12 1.86 0.09   66  5  194   6
SDSS J095528+383827 0.06124 2.0E-5 3.38 0.14 4.45 0.20  309 14  252  12 0.70
SDSS J095833-005118 0.08587 3.0E-5 3.23 0.08 3.56 0.05  674 17  785  17 0.23
SDSS J101143+325943 0.12974 4.0E-5 2.71 0.02 3.26 0.02  974 10 1220  11 0.03
SDSS J101346-005451 0.04243 2.0E-5 4.57 0.12 3.02 0.08  359 10  574  11
SDSS J101348+002014 0.11711 3.0E-5 2.39 0.33 3.08 0.14  156 17  178  16
SDSS J102325+324348 0.12701 5.0E-5 3.04 0.20 3.41 0.15  189 14  244  14 0.39
SDSS J104813+442710 0.13972 3.0E-5 3.13 0.27 2.47 0.14   51  6   80   6
SDSS J105653+331945 0.05104 2.0E-5 3.75 0.04 5.38 0.07  944 11  553   9
SDSS J110215+290725 0.10603 3.0E-5 3.08 0.13 4.22 0.11  295 12  229  11 0.04
SDSS J110821+591851 0.08572 2.0E-5 2.48 0.05 2.49 0.05  919 21  968  21 0.04
SDSS J110832+195128 0.10317 3.0E-5 3.54 0.22 3.19 0.12  325 26  692  27 0.27
SDSS J110957+020138 0.06322 2.0E-5 3.06 0.07 2.85 0.03  723 21 1863  26 0.17
SDSS J111042+030033 0.10752 4.0E-5 2.18 0.08 3.46 0.09  302 11  356  11 0.47
SDSS J111054+012936 0.12946 4.0E-5 1.52 0.08 2.37 0.06  526 22  633  22
SDSS J111201+275053 0.04743 2.0E-5 3.85 0.18 2.18 0.12  229 18  435  19 0.45
SDSS J111333+165711 0.05343 2.0E-5 1.68 0.12 4.46 0.04  293  8  380   9 0.41
SDSS J111803+062657 0.12781 2.0E-5 2.73 0.15 3.72 0.14  311 16  298  16 0.50
SDSS J112659+294442 0.10180 3.0E-5 2.11 0.03 3.18 0.04  843 12  680  12 0.24
SDSS J113126-020459 0.14641 5.0E-5 4.04 0.05 2.66 0.06  452  9  320   8
SDSS J113630+135848 0.08173 3.0E-5 3.05 0.18 1.07 0.15   74 11  190  12
SDSS J113759+143733 0.08103 2.0E-5 2.74 0.14 2.54 0.11  270 18  401  18
SDSS J114047+445208 0.06917 2.0E-5 5.00 0.10 1.91 0.20  118  6  149   7
SDSS J114249+102700 0.11870 4.0E-5 3.15 0.24 3.58 0.09  110  6  136   6
SDSS J114610-022619 0.12251 4.0E-5 2.23 0.04 1.95 0.06  348 10  421  10
SDSS J114840-021637 0.08481 3.0E-5 3.21 0.05 2.97 0.07  406 11  491  12 0.28
SDSS J115028+044141 0.04037 1.0E-5 2.74 0.08 2.55 0.04 1128 36 2300  39 0.05
SDSS J115249+190300 0.09666 4.0E-5 2.25 0.12 3.12 0.05  700 23  561  22
SDSS J115548+110159 0.10506 5.0E-5 3.21 0.23 1.70 0.29   83 11   86  11
SDSS J120320+131931 0.05844 2.0E-5 2.57 0.14 2.37 0.13  172 13  193  13
SDSS J120357+280856 0.06934 2.0E-5 2.21 0.10 2.40 0.11  208 10  140   9 0.89
SDSS J120802+230430 0.07363 3.0E-5 2.41 0.09 2.76 0.12  263 11  188  11 0.03
SDSS J121311+650818 0.13541 4.0E-5 1.84 0.14 2.79 0.05   54  4  177   5 0.06
SDSS J121527+000109 0.10033 3.0E-5 2.12 0.42 1.78 0.42  196 49  244  49
SDSS J123524+060810 0.09413 2.0E-5 3.13 0.12 2.57 0.07  270 13  425  13
SDSS J123538+050221 0.06532 2.0E-5 2.01 0.29 2.36 0.13   65  9   88   9
SDSS J125049+074618 0.05038 2.0E-5 1.52 0.08 2.19 0.09  195 10  144   9
SDSS J131235+500415 0.11586 3.0E-5 2.79 0.19 3.72 0.22  198 17   87  12
SDSS J131515+213403 0.07028 3.0E-5 4.58 0.08 2.16 0.05  863 22 1364  23 0.27
SDSS J132547+545019 0.14183 4.0E-5 1.76 0.12 2.76 0.16  396 27  412  27
SDSS J133723+035350 0.02280 1.0E-5 2.42 0.08 2.75 0.16  514 23  272  22 0.03
SDSS J133804+264209 0.10667 2.0E-5 1.92 0.56 1.83 0.40   67 18   55  18
SDSS J135207+052555 0.07883 2.0E-5 2.14 0.15 3.15 0.05  714 33  952  32 0.01
SDSS J142039+495906 0.06333 2.0E-5 2.74 0.19 1.80 0.10  165 16  318  17
SDSS J143132+435807 0.09604 4.0E-5 2.89 0.33 3.23 0.35   60  9   66   9
SDSS J143434+140548 0.06974 3.0E-5 1.99 0.36 3.21 0.44  140 22  119  22
SDSS J145217+511050 0.07582 3.0E-5 2.08 0.17 3.79 0.12  500 25  379  24
SDSS J145801+274251 0.11845 3.0E-5 2.79 0.23 2.61 0.26  207 20  201  21
SDSS J150053+382349 0.14523 5.0E-5 3.10 0.08 2.59 0.09  475 15  452  15 0.34
SDSS J150452+321414 0.11253 4.0E-5 1.86 0.21 2.38 0.12  194 21  277  25
SDSS J151659+051751 0.05122 1.0E-5 2.10 0.04 3.31 0.03  685 11  729  12 0.36
SDSS J151709+335324 0.13541 6.0E-5 6.75 0.01 5.57 0.02 3659 16 2232  11
SDSS J152606+414014 0.00831 0.7E-5 2.92 0.04 1.83 0.05 3146 96 6776 105 0.15
SDSS J153217+453225 0.07138 3.0E-5 2.71 0.12 1.58 0.07  170 11  261  11 0.14
SDSS J153315+575001 0.06734 2.0E-5 3.08 0.06 2.37 0.09  337 11  311  11
SDSS J155205+043317 0.08016 3.0E-5 2.78 0.09 2.14 0.05  112  6  298   6
SDSS J155619+094855 0.06785 1.0E-5 3.12 0.04 3.65 0.02  783 10 1112  10 0.11
SDSS J160024+264035 0.09003 4.0E-5 3.94 0.36 3.48 0.26   88 12  153  13 0.11
SDSS J160436+500958 0.14649 3.0E-5 2.94 0.04 3.22 0.05  353  7  354   7 0.08
SDSS J160524+152233 0.04210 1.0E-5 3.23 0.18 2.81 0.12  200 17  386  17 0.37
SDSS J160636+342754 0.05473 2.0E-5 2.70 0.20 1.94 0.17  230 23  288  23
SDSS J161006+210735 0.13722 2.0E-5 3.49 0.05 2.01 0.03  170  5  486   6 0.21
SDSS J162939+240856 0.05921 2.0E-5 2.60 0.13 1.69 0.13  133 10  115   9
SDSS J163316+262716 0.07125 4.0E-5 2.10 0.21 3.11 0.29  160 15  105  15
SDSS J165206+310707 0.07495 2.0E-5 2.04 0.08 3.15 0.07  115  5  157   5 0.09
SDSS J225420-005134 0.07950 3.0E-5 3.17 0.11 3.78 0.12  183  8  112   7 0.15
SDSS J230442-093345 0.03203 1.0E-5 2.69 0.10 2.67 0.17  449 24  393  25
SDSS J231051-090011 0.09439 2.0E-5 1.20 0.03 4.28 0.03  640  8  428   7 0.20
