SDSS,Plate,Fiber,MJD,z,sep,rp,dV,rmag,FAGN,FTid,RA,Dec
J000249.07+004504.8,388,345,51793,0.0868,5.9,9.5,63,16.08,0,3,00:02:49.07,+00:45:04.8
J000249.44+004506.7,685,593,52203,0.0865,5.9,9.5,63,16.43,1,3,00:02:49.44,+00:45:06.7
J000257.21+000750.5,685,531,52203,0.0901,45.4,76.0,109,16.15,2,2,00:02:57.21,+00:07:50.5
J000258.59+000831.0,387,72,51791,0.0897,45.4,76.0,109,16.67,2,2,00:02:58.59,+00:08:31.0
J000323.74+010547.3,1490,321,52994,0.0993,12.2,22.4,22,17.98,2,2,00:03:23.74,+01:05:47.3
J000323.74+010559.5,387,620,51791,0.0994,12.2,22.4,22,17.42,2,2,00:03:23.74,+01:05:59.5
J000425.78-095854.4,650,598,52143,0.1122,24.1,49.1,53,16.41,0,2,00:04:25.78,-09:58:54.4
J000426.66-095834.4,651,392,52141,0.112,24.1,49.1,53,16.57,2,2,00:04:26.66,-09:58:34.4
J000431.92-011411.7,388,282,51793,0.0887,42.3,70.1,45,17.22,0,0,00:04:31.92,-01:14:11.7
J000433.25-011334.4,1490,241,52994,0.0889,42.3,70.1,45,18.47,2,0,00:04:33.25,-01:13:34.4
J000621.33-100412.6,651,228,52141,0.1062,45.6,88.3,165,17.46,0,1,00:06:21.33,-10:04:12.6
J000623.74-100345.0,650,33,52143,0.1056,45.6,88.3,165,17.34,1,1,00:06:23.74,-10:03:45.0
J000700.56+005410.5,388,441,51793,0.0925,56.2,96.7,250,15.44,1,2,00:07:00.56,+00:54:10.5
J000704.18+005425.0,686,407,52519,0.0935,56.2,96.7,250,16.96,1,2,00:07:04.18,+00:54:25.0
J000948.47+135819.8,752,283,52251,0.1179,7.9,16.7,281,17.39,1,2,00:09:48.47,+13:58:19.8
J000948.49+135811.9,751,3,52251,0.1169,7.9,16.7,281,17.92,2,2,00:09:48.49,+13:58:11.9
J000956.72+000958.4,686,558,52519,0.1023,36.7,69.3,114,16.65,1,0,00:09:56.72,+00:09:58.4
J000958.76+000938.2,389,360,51795,0.1027,36.7,69.3,114,16.81,2,0,00:09:58.76,+00:09:38.2
J001010.89-001430.2,669,61,52559,0.114,4.0,8.3,182,17.26,1,2,00:10:10.89,-00:14:30.2
J001011.16-001430.8,389,315,51795,0.1133,4.0,8.3,182,16.84,2,2,00:10:11.16,-00:14:30.8
J001050.37-010257.6,686,20,52519,0.113,5.2,10.6,54,17.6,0,2,00:10:50.37,-01:02:57.6
J001050.70-010259.1,1541,295,53732,0.1132,5.2,10.6,54,19.3,0,2,00:10:50.70,-01:02:59.1
J001112.89-100122.4,652,307,52138,0.0838,53.7,84.7,59,17.7,1,0,00:11:12.89,-10:01:22.4
J001116.45-100126.8,651,594,52141,0.084,53.7,84.7,59,17.41,0,0,00:11:16.45,-10:01:26.8
J001734.86+150524.9,753,351,52233,0.0843,40.9,64.1,257,17.15,2,0,00:17:34.86,+15:05:24.9
J001737.25+150544.6,752,638,52251,0.0834,40.9,64.1,257,17.35,2,0,00:17:37.25,+15:05:44.6
J001842.19-101613.9,653,303,52145,0.1215,14.6,32.0,140,17.02,2,2,00:18:42.19,-10:16:13.9
J001842.81-101625.1,652,71,52138,0.122,14.6,32.0,140,16.85,2,2,00:18:42.81,-10:16:25.1
J001907.45+010941.1,390,380,51900,0.1051,6.0,11.6,183,17.29,1,1,00:19:07.45,+01:09:41.1
J001907.61+010946.6,1542,367,53734,0.1058,6.0,11.6,183,18.96,1,1,00:19:07.61,+01:09:46.6
J002208.69+002200.5,688,474,52203,0.071,3.1,4.2,87,15.63,1,2,00:22:08.69,+00:22:00.5
J002208.83+002202.8,390,497,51900,0.0707,3.1,4.2,87,15.57,1,2,00:22:08.83,+00:22:02.8
J002339.83-004855.3,390,102,51900,0.0634,48.9,59.6,158,15.73,1,1,00:23:39.83,-00:48:55.3
J002343.09-004854.4,391,297,51782,0.064,48.9,59.6,158,15.78,2,1,00:23:43.09,-00:48:54.4
J002345.08-010029.9,390,9,51900,0.0663,56.7,72.1,480,17.19,2,0,00:23:45.08,-01:00:29.9
J002348.45-010004.0,390,13,51900,0.0646,56.7,72.1,480,16.32,2,0,00:23:48.45,-01:00:04.0
