|plate|fiber|  mjd|     z|  amp1|   vel1|  sig1|  amp2|    vel2|  sig2|  amp3|   vel3|  sig3|  fwhm|  fwqm|   w50|   w80|   w90|   relasym| r9050|  dp|      ra|      dec| oiiilum|
| long| long| long|double|double| double|double|double|  double|double|double| double|double|double|double|double|double|double|    double|double|long|  double|   double|  double|
|     |     |     |      |      |       |      |      |        |      |      |       |      |      |      |      |      |      |          |      |    |        |         |        |
| null| null| null|  null|  null|   null|  null|  null|    null|  null|  null|   null|  null|  null|  null|  null|  null|  null|      null|  null|null|    null|     null|    null|
   271   372 51883 0.1202  135.6  -18.42  288.3  436.1    55.53  149.2  84.58  -181.8  77.37  450.7  627.8  268.6  517.1  690.3    -0.0558   2.57    0  153.901  0.916513  1.94984 
   271   439 51883 0.1163  67.84  -428.5  142.5  100.7    35.95  337.2  433.7   31.71  142.8  383.9  619.1  285.3  646.1  881.8    -0.1314  3.091    1  154.224  0.482542   1.7378 
   273    93 51957 0.2185  55.15   11.85  176.1  16.53   -102.2  395.8  20.56  -44.38  84.74  399.9  640.6  287.8  639.4  917.9    -0.1233  3.189    0  158.323 -0.631938  1.28825 
   273   389 51957 0.6137  12.52  -205.9  525.7  25.09   -22.46  219.1    0.0    -0.0    0.1  652.1 1072.0  474.8 1031.0 1418.0    -0.1584  2.987    0  156.942  0.534722  12.8825 
   275   579 51910 0.6427  4.746  -153.3  984.5  16.85   -307.2  229.3  12.14   413.7  258.2 1285.0 1666.0  845.6 1585.0 2299.0   -0.05299  2.719    2  162.032   0.92872  14.1254 
   280   117 51612 0.2445  52.16   29.05  301.4  15.85   -410.6  823.4  70.71   26.44  133.3  460.5  821.4  463.5 1267.0 1874.0    -0.3398  4.043    0  171.253  0.244785  3.63078 
   284   613 51943 0.2088  54.67  -41.07  259.7  46.83   -107.4   92.7  30.32   132.9  127.6  487.5  702.4  298.0  573.9  757.1  0.0003963  2.541    0  178.949  0.814446  1.41254 
   289   312 51990 0.1728  222.1  -330.7  97.18  173.4    154.0  470.3  515.2  -27.11  209.4  693.6  959.9  431.0  860.2 1162.0     0.2185  2.696    0  185.574 -0.128825  8.51138 
   289   531 51990  0.575  3.003  1041.0 1021.0  6.771   -558.4  111.8  9.571  -56.58  669.7 1515.0 2422.0 1232.0 2314.0 3081.0     0.2546  2.501    0  187.191  0.838531  9.12011 
   293     7 51689 0.2455  109.3   177.2  179.1  47.11   -230.4  150.9  78.87  -94.59  369.7  774.9 1041.0  450.6  819.8 1055.0    -0.1218  2.342    1   195.37  -0.96786  5.24807 
   308   445 51662 0.7259  3.292  -737.1 1386.0  12.57   -20.75  418.7    0.0    -0.0    0.1 1140.0 1816.0 1008.0 2492.0 3486.0    -0.3112  3.458    0  221.676   1.21748  16.9824 
   310   589 51990 0.1819  145.7   162.9  190.8  17.36  -1532.0  444.0  104.7  -178.4  579.3  680.2 1428.0  769.2 1579.0 2143.0    -0.3618  2.787    0  226.833  0.484729  4.36516 
   332   134 52367 0.1855  78.92   54.21  175.2  65.89   -66.48  351.5  44.08  -249.0  83.24  648.0  889.2  385.4  723.4  974.2   -0.04478  2.528    2  182.862  -3.15065  1.94984 
   335    35 52000 0.2814  27.05   117.3  68.14  121.1    15.54  139.6  13.54   42.36  338.1  348.1  493.8  214.9  425.5  592.2   -0.01665  2.756    0  190.906  -2.53339   3.0903 
   337    45 51997 0.2389  22.51  -718.0  779.8   37.3    72.71  382.7    0.0    -0.0    0.1 1287.0 2268.0  993.9 1904.0 2417.0    -0.2646  2.431    0  193.394  -3.69947  2.81838 
   339   548 51692 0.4251  8.941   206.3  149.5  41.84   -43.19  130.2  10.81  -161.4  406.5  392.4  639.9  296.3  703.3 1007.0    -0.1637    3.4    0  196.919  -2.24869  4.36516 
   341   595 51690 0.3502  47.41  -38.91  321.5   38.0    147.5   92.3  93.01   -22.4  150.3  471.2  677.1  294.2  587.4  812.4   -0.08805  2.761    0  200.847  -1.99498  7.58578 
   342    81 51691 0.1215  345.9   25.48  126.2  99.47   -47.12  291.0    0.0     0.0    0.1  341.3  516.4  229.8  489.0  695.3    -0.1273  3.026    0  237.135  -1.13658  1.31826 
   342   299 51691 0.3105  15.29  -126.9  183.7  36.21    80.89  129.0    0.0     0.0    0.1  372.3  572.6  236.5  465.7  602.5    -0.1762  2.548    0  235.908 -0.738868  1.28825 
