|plate|fiber|  mjd|     z|  amp1|      vel1|  sig1|     amp2|      vel2|  sig2|  amp3|      vel3|  sig3|  amp4|  vel4|  sig4|  fwhm|  fwqm|    w50|    w80|    w90|     relasym|  r9050|  dp|
| long| long| long|double|double|    double|double|   double|    double|double|double|    double|double|double|double|double|double|double| double| double| double|      double| double|long|
|     |     |     |      |      |          |      |         |          |      |      |          |      |      |      |      |      |      |       |       |       |            |       |    |
| null| null| null|  null|  null|      null|  null|     null|      null|  null|  null|      null|  null|  null|  null|  null|  null|  null|   null|   null|   null|        null|   null|null|
  3586   959 55181  0.591  11.93     -246.9  174.0     18.43      168.2  117.5    0.0       -0.0    0.1    0.0   -0.0    0.1  665.7  843.5   415.7   660.1   788.2    -0.210657 1.89608    2 
  3590   256 55201 0.9276  1.517     -414.8 1278.0     1.459     1477.0  165.8  1.564      774.8  645.7    0.0    0.0    0.1 2661.9 3867.1  1796.9  3210.0  3955.0    -0.250771 2.20101    0 
  3590   947 55201 0.6893  2.277     -38.04  721.0       0.0       -0.0    0.1    0.0       -0.0    0.1    0.0   -0.0    0.1 1697.8 2401.1   972.7  1848.1  2372.0  3.37268e-05 2.43857    0 
  3606   422 55182 0.5654  2.252      36.61  516.3     2.826      273.0  268.5    0.0        0.0    0.1    0.0    0.0    0.1  849.3 1334.0   558.1  1125.8  1488.5    -0.138865 2.66708    0 
  3606   816 55182 0.9719  7.899      7.495  154.7       0.0        0.0    0.1    0.0        0.0    0.1    0.0    0.0    0.1  364.3  515.2  208.78   396.6   509.0  1.96464e-05 2.43797    0 
  3609   605 55201  0.517   22.7      15.96  353.4     17.28      260.4  115.0    0.0        0.0    0.1    0.0    0.0    0.1  655.8  999.3   450.8   837.2  1088.1    -0.163864 2.41371    1 
  3615   754 56219  0.838  8.327      -2.03  150.0     0.588     -424.6  741.0    0.0       -0.0    0.1    0.0   -0.0    0.1  368.1  532.3  277.57   859.7  1395.4    -0.486541  5.0272    0 
  3650   645 55244 0.4334  7.275     -51.33  182.3     3.942      236.7   73.2 0.9796      73.46  372.7    0.0    0.0    0.1  585.6  737.6   331.0   578.5   739.8   -0.0126629 2.23505    2 
  3651   255 55247 0.5207  4.227     -412.9  800.0      16.3     -26.21  469.5  65.69     -13.48  251.8    0.0   -0.0    0.1  674.9 1005.0   448.0   947.8  1383.8    -0.140598 3.08884    0 
  3651   893 55247 0.5551 0.4792     -387.1 1290.0     15.45     -51.63  218.4 0.5535      466.2  207.4    0.0   -0.0    0.1  531.0  767.0   357.9   774.8  1474.8    -0.213059  4.1207    0 
