00 44 34.08 +00 19 03.5  1.878 P  1a  88.64
00 44 39.33 +00 18 22.8  1.866 P  1b  88.64
00 55 57.46 -32 55 39.0  2.250 P  2a 122.53
00 56 05.33 -32 56 51.1  2.125 P  2b 122.53
02 09 54.8  -10 02 23.0  1.970 P  3a  12.04
02 10 00.1  -10 03 54.0  1.976 P  3b  12.04
02 56 42.6  -33 15 21.0  1.915 P  4a  55.78
02 56 47.02 -33 15 27.0  1.863 P  4b  55.78
03 10 06.08 -19 21 24.9  2.144 P  5a  60.27
03 10 09.05 -19 22 08.1  2.122 P  5b  60.27
03 10 36.47 -30 51 08.4  2.554 P  6a  72.04
03 10 41.06 -30 50 27.5  2.544 P  6b  72.04
09 14 04.1  +46 10 44.9  2.180 P  7a  64.59
09 14 10.3  +46 10 50.01 2.370 P  7b  64.59
09 56 58.73 +69 38 52.5  2.048 P  8a 130.92
09 57 21.22 +69 37 54.5  2.054 P  8b 108.83
09 57 25.94 +69 36 08.5  2.048 P  8c 217.08
11 45 47.55 -00 31 06.7  2.043 P  9a 149.34
11 45 53.67 -00 33 04.5  2.055 P  9b 149.34
12 12 51.14 -00 53 42.2  2.473 P 10a  74.01
12 12 56.06 -00 53 36.5  2.459 P 10b  74.01
13 06 34.19 +29 24 43.1  1.960 P 11a  27.82
13 06 35.41 +29 25 05.9  1.926 P 11b  27.82
13 21 47.86 +01 06 04.8  2.130 P 12a 107.86
13 21 54.33 +01 06 51.9  1.971 P 12b 107.86
13 39 39.0  +00 10 22.0  2.122 P 13a 101.69
13 39 45.4  +00 09 45.0  1.869 P 13b 101.69
13 46 21.4  -00 38 05.0  1.894 P 14a 119.62
13 46 25.6  -00 39 47.0  1.848 P 14b 119.62
14 12 24.51 -01 56 34.0  1.916 P 15a 112.60
14 12 29.73 -01 55 13.1  2.030 P 15b 112.60
14 20 45.98 -00 05 18.0  2.193 P 16a 299.36
14 20 55.61 -00 09 40.0  2.193 P 16b 299.36
16 12 37.9  +23 57 09.0  2.014 P 17a 117.22
16 12 45.6  +23 58 00.0  2.005 P 17b 117.22
16 45 01.09 +46 26 16.0  3.790 P 18a 195.32
16 45 19.62 +46 25 38.3  3.831 P 18b 195.32
17 27 56.45 +58 21 55.7  2.368 P 19a 111.58
17 28 06.77 +58 20 39.19 2.011 P 19b 111.58
17 30 14.71 +54 56 57.5  2.127 P 20a 244.99
17 30 42.38 +54 56 01.1  2.112 P 20b 244.99
17 36 26.73 +55 27 20.7  1.822 P 21a 101.46
17 36 35.51 +55 28 29.4  1.988 P 21b 101.46
