LBQS 0015+02       0015+02 2.469   2.2  25
Q 0023+171         0023+17 0.945   4.8  23
SDSS J00480-1051   0045-11 1.557   3.6  84
CT 344             0103-27 0.848   0.3  29
PHL 1222           0151+04 1.910   3.3  45
SDSS J02451-0113   0242-01 2.46    4.5  84
SDSS J02483+0009   0245-00 1.645   6.9  84
CTQ 839            0250-33 2.24    2.1  47
PKS 0537-44        0537-44 0.89    4.0  86
SDSS J07479+4318   0744+43 0.50    9.2  84
SDSS J09591+5449   0955+55 1.95    3.9  84
SDSS J10287+3929   1025+39 1.89    7.5  84
SDSS J10348+0701   1032+07 1.25    3.1  84
2QZ J105644-0059   1054-00 2.13    7.2  84
SDSS J11161+4118   1113+41 1.98   13.0  93
SDSS J11202+6711   1117+67 1.494   1.5  74
Q 1145-071         1145-07 1.34    4.2  7
SDSS J11583+1235   1155+12 0.596   3.6  104
HS 1216+5032       1216+50 1.450   8.9  17,79
SDSS J12257+5644   1223+57 2.38    6.0  84
SDSS J12599+1241   1257+12 2.19    3.6  84
SDSS J13033+5100   1301+51 1.68    3.8  84
SDSS J1320+3056    1318+31 1.595   4.7  104
SDSS J13372+6012   1335+60 1.73    3.1  84
RRS IV 26,27       1343+26 2.030   9.5  6
SDSS J13494+1227   1347+12 1.72    3.0  84
SDSS J14050+4447   1403+45 2.23    7.4  84
SDSS J14098+3919   1407+39 2.08    6.8  84
SDSS J1418+2441    1416+24 0.572   4.5  104
SDSS J1426+0719    1423+07 1.312   4.3  104
SDSS J14279-0121   1425-01 2.30    6.2  84
SDSS J1430+0714    1427+07 1.246   5.4  104
Q 1429-008         1429-00 2.076   5.1  10,20,91
SDSS J1458+5448    1456+55 1.913   5.1  104
SDSS J15306+5304   1529+53 1.53    4.1  84
SDSS J16002+0000   1557+00 1.010   1.8  74
SDSS J1606+2900    1604+29 0.763   3.4  104
RX J16290+3724     1627+37 0.923   4.3  42
SDSS J1635+2911    1633+29 1.582   4.9  104
Q J1643+31         1641+32 0.586   2.3  2
SDSS J17232+5904   1722+59 1.60    3.7  84
SDSS J21289-0617   2126-06 2.07    8.3  84
Q 2153-2056        2153-20 1.845   7.8  22
SDSS J22144+1326   2212+13 2.00    5.8  84
MGC 2214+3550      2212+35 0.877   3.0  50
SDSS J23365-0107   2334-01 1.285   1.7  14
Q 2345+007         2345+00 2.15    7.1  54,82
