index,System Type,Literature Name,Name1,Selection Method,Confirmation Method,z1,z1_type,RA1,Dec1,RA1_deg,Dec1_deg,Equinox,Coordinate_waveband1,Coordinate_Source1,Brightness1,Brightness_band1,Brightness_type1,Name2,z2,z2_type,RA2,Dec2,RA2_deg,Dec2_deg,Coordinate_waveband2,Coordinate_Source2,Brightness2,Brightness_band2,Brightness_type2,Sep,Sep(kpc),delta_z,dV,Paper(s),BibCode(s),DOI(s),Notes
0,Dual AGN Candidate,J000249+004504,J000249+004504,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.08662,spec,00:02:49,+00:45:04,0.7041666666666665,0.7511111111111111,J2000,Optical,SDSS,-100.0,-100,-100,J000249+004504,0.08662,spec,00:02:49,+00:45:04,0.7041666666666665,0.7511111111111111,Optical,SDSS,-100.0,-100,-100,3.0,4.867051893226605,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
1,Dual AGN Candidate,J000656+154847,J000656+154847,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.12515,spec,00:06:56,+15:48:47,1.7333333333333332,15.813055555555556,J2000,Optical,SDSS,-100.0,-100,-100,J000656+154847,0.12515,spec,00:06:56,+15:48:47,1.7333333333333332,15.813055555555556,Optical,SDSS,-100.0,-100,-100,3.0,6.728887750797682,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
2,Dual AGN Candidate,J013555+143529,J013555+143529,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.07208,spec,01:35:55,+14:35:29,23.979166666666664,14.59138888888889,J2000,Optical,SDSS,-100.0,-100,-100,J013555+143529,0.07208,spec,01:35:55,+14:35:29,23.979166666666664,14.59138888888889,Optical,SDSS,-100.0,-100,-100,3.0,4.119105310064506,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
3,Dual AGN Candidate,J014209-005049,J014209-005049,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.13253,spec,01:42:09,-00:50:49,25.537499999999994,-0.8469444444444445,J2000,Optical,SDSS,-100.0,-100,-100,J014209-005049,0.13253,spec,01:42:09,-00:50:49,25.537499999999994,-0.8469444444444445,Optical,SDSS,-100.0,-100,-100,3.0,7.066624347999844,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
4,Dual AGN Candidate,J015605-000721,J015605-000721,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.08084,spec,01:56:05,-00:07:21,29.02083333333333,-0.1225,J2000,Optical,SDSS,-100.0,-100,-100,J015605-000721,0.08084,spec,01:56:05,-00:07:21,29.02083333333333,-0.1225,Optical,SDSS,-100.0,-100,-100,3.0,4.572819143749817,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
5,Dual AGN Candidate,J073509+403624,J073509+403624,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.10297,spec,07:35:09,+40:36:24,113.7875,40.60666666666667,J2000,Optical,SDSS,-100.0,-100,-100,J073509+403624,0.10297,spec,07:35:09,+40:36:24,113.7875,40.60666666666667,Optical,SDSS,-100.0,-100,-100,3.0,5.677844494712872,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
6,Dual AGN Candidate,J074729+344018,J074729+344018,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.12982,spec,07:47:29,+34:40:18,116.87083333333332,34.67166666666667,J2000,Optical,SDSS,-100.0,-100,-100,J074729+344018,0.12982,spec,07:47:29,+34:40:18,116.87083333333332,34.67166666666667,Optical,SDSS,-100.0,-100,-100,3.0,6.943283380730403,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
7,Dual AGN Candidate,J074953+451454,J074953+451454,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.03132,spec,07:49:53,+45:14:54,117.47083333333332,45.248333333333335,J2000,Optical,SDSS,-100.0,-100,-100,J074953+451454,0.03132,spec,07:49:53,+45:14:54,117.47083333333332,45.248333333333335,Optical,SDSS,-100.0,-100,-100,3.0,1.8782597219745527,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
8,Dual AGN Candidate,J075223+273643,J075223+273643,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.06908,spec,07:52:23,+27:36:43,118.09583333333333,27.611944444444447,J2000,Optical,SDSS,-100.0,-100,-100,J075223+273643,0.06908,spec,07:52:23,+27:36:43,118.09583333333333,27.611944444444447,Optical,SDSS,-100.0,-100,-100,3.0,3.961533757681573,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
9,Dual AGN Candidate,J080218+304622,J080218+304622,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.07654,spec,08:02:18,+30:46:22,120.57499999999999,30.772777777777776,J2000,Optical,SDSS,-100.0,-100,-100,J080218+304622,0.07654,spec,08:02:18,+30:46:22,120.57499999999999,30.772777777777776,Optical,SDSS,-100.0,-100,-100,3.0,4.35128827208497,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
10,Dual AGN Candidate,J080418+305157,J080418+305157,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.14553,spec,08:04:18,+30:51:57,121.07499999999999,30.865833333333335,J2000,Optical,SDSS,-100.0,-100,-100,J080418+305157,0.14553,spec,08:04:18,+30:51:57,121.07499999999999,30.865833333333335,Optical,SDSS,-100.0,-100,-100,3.0,7.6475327612895185,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
