System Type,Literature Name,Name1,Selection Method,Confirmation Method,z1,z1_type,RA1,Dec1,Equinox,Coordinate_waveband1,Coordinate_Source1,Brightness1,Brightness_band1,Brightness_type1,Name2,z2,z2_type,RA2,Dec2,Equinox,Coordinate_waveband2,Coordinate_Source2,Brightness2,Brightness_band2,Brightness_type2,Sep,Sep(kpc),Paper(s),BibCode(s),DOI(s),Notes

Binary Quasar / Lens,2345+007,2345+007A,Low-Dispersion Spectroscopy,,2.152,spec,23:48:19.5,+0:57:21.5,J2000,Optical,Gaia,19.42,V,mag,2345+007B,2.147,spec,23:48:19.1862763759,+00:57:17.504391350,Optical,Gaia,20.56,V,mag,7.3,,Weedman+1982 ; Subramanian+1984 ; Wier+1991 ; Duncan+1991 ; Steidel+1991 ; Bonnet+1993 ; Fischer+1994 ; Mellier+1994 ; Patnaik+1996 ; Dolan+1996 ; Small+1997 ; Green+2002,1982ApJ...255L...5W ; 1984ApJ...276..440S ; 1991AJ....101...66W ; 1991ApJ...375L..41D ; 1991AJ....102.1610S ; 1993A&A...280L...7B ; 1994ApJ...431L..71F ; 1994A&A...289L..15M ; 1996MNRAS.281L..17P ; 1996Ap&SS.240..295D ; 1997AJ....114.2254S ; 2002ApJ...571..721G,https://doi.org/10.1086/183759 ; https://doi.org/10.1086/161630 ; https://doi.org/10.1086/115666 ; https://doi.org/10.1086/186083 ; https://doi.org/10.1086/115983 ; NA ; https://doi.org/10.1086/187475 ; NA ; https://doi.org/10.1093/mnras/281.2.L17 ; https://doi.org/10.1007/BF00639593 ; https://doi.org/10.1086/118645 ; https://doi.org/10.1086/340051,No X-ray evidence for a foreground lensing cluster found by Green+2002 and no lens identified; X-ray continua are found to be incompatible as are the optical to X-ray flux ratios; the optical spectral similarities remains a mystery. Coordinates from Simbad.

Binary Quasar / Lens,1635+267,1635+267A,Slitless Spectroscopic Survey / CCD spectra and imaging,,1.961,spec,16:37:00.9274884393,+26:36:09.893921938,J2000,Optical,Gaia,19.29,V,mag,1635+267B,1.961,spec,16:37:00.873,+26:36:13.75,Optical,SDSS,20.61,V,mag,3.8,,Djorgovski+1984 ; Steidel+1991 ; Small+1997 ; Peng+1999,1984ApJ...282L...1D ; 1991AJ....102.1610S ; 1997AJ....114.2254S ; 1999ApJ...524..572P,https://doi.org/10.1086/184291 ; https://doi.org/10.1086/115983 ; https://doi.org/10.1086/118645 ; https://doi.org/10.1086/307860,Spectra have striking similarities but no evidence for a lensing cluster of galaxy even in HST imaging. Coordinates from Simbad.

Dual AGN,3C 75,3C 75 NE,Radio Imaging / X-ray Imaging,,0.022152,spec,02:57:41.565,+06:01:36.89,J2000,Optical,SDSS,14.7,B,mag,3C 75 SW,0.023823,spec,02:57:41.651,+06:01:20.78,Optical,SDSS,14.7,B,mag,16.16,,Owen+1985 ; Hudson+2006,1985ApJ...294L..85O ; 2006A&A...453..433H,https://doi.org/10.1086/184514 ; https://doi.org/10.1051/0004-6361:20064955,Coordinates from Simbad. Redshifts pulled from Hudson+2006.

Dual AGN / Quasar Candidate,PKS 1614+051,PKS 1614+051 QSO,Narrow-band imaging,Spectroscopic confirmation,3.209,spec,16:16:37.55681502,+04:59:32.7367495,J2000,Radio,VLBI,19.17,V,mag,PKS 1614+051 A,3.215,spec,16:16:37.55681502,+04:59:32.7367495,Radio,VLBI,19.17,V,mag,6.55,,Djorgovski+1985 ; Djorgovski+1987 ; Hu+1987 ; Husband+2015,1985ApJ...299L...1D ; 1987AJ.....93.1318D ; 1987ApJ...317L...7H ; 2015MNRAS.452.2388H,https://doi.org/10.1086/184569 ; https://doi.org/10.1086/114414 ; https://doi.org/10.1086/184902 ; https://doi.org/10.1093/mnras/stv1424,Possible QSO-AGN pair at similar redshifts but note the redshift differences as these might be further away than originally thought ; Hu+1987 call into question interepretation and conclude that companion is likely just an ionized gas cloud. Coordinates come from Simbad. Husband+2015 describe the system as a quasar and an AGN companion. Should check and see if there any additional papers confirming the redshifts

Binary Quasar,PKS 1145-071,PKS 1145-071A,,Optical Spectroscopy,1.345,spec,11:47:51.55402876,-07:24:41.1410887,J2000,Radio,VLBI,18.5,V,mag,PKS 1145-071B,1.345,spec,11:47:51.55402876,-07:24:41.1410887,Radio,VLBI,18.5,V,mag,4.2,,Djorgovski+1987,1987ApJ...321L..17D,https://doi.org/10.1086/184998,Using the same coordinates because secondary coordinates not specified. Coordinates come from Simbad.

