001224.01-102226.5 0.2288 0651 072 52141 -1952 119  -638
001247.93-084700.5 0.2203 0652 326 52138  -176  39   283
001257.25+011527.3 0.5047 0389 379 51795   717 162   753
002043.58+141249.4 0.5880 0753 253 52233   379  65   375
002141.01+003841.7 0.3072 0390 531 51900  1290  90  1217
002233.27-003448.5 0.5046 0390 157 51900  -159  32  -176
002332.34-011444.2 0.4837 0688 089 52203  -578 120  -739
003723.49+000812.5 0.2519 0392 520 51793  -237  61   314
003943.19+072705.1 0.5940 2327 112 53710 -2078 236 -1671
004712.57-084330.8 0.4460 0656 450 52148  -113  33  -132
005118.28+135448.1 0.1377 0420 248 51871   130  28   155
005205.56+003538.1 0.3997 1132 510 52903   305  30   297
010113.03-092742.1 0.3574 0658 548 52146   206  66   201
010559.51+154957.9 0.5142 0422 336 51811  -230  32  -387
010644.15-103410.5 0.4679 0659 209 52199   212  30   336
011110.04-101631.8 0.1800 0659 111 52199  -601  60  -874
012331.39+305228.7 0.6553 2061 019 53711   687  74   915
012959.89-093929.2 0.3590 0661 633 52163  -689  90  -438
014219.00+132746.5 0.2670 0429 303 51820   859  90   956
015355.58+003218.2 0.4530 1505 347 52941  -140  30  -163
020011.52-093126.1 0.3603 0666 187 52149   606 121   590
020429.84-004042.4 0.4414 0404 190 51812  -656  92  -559
021318.29+130643.9 0.4077 0428 108 51883   533 106   541
022113.14+010102.9 0.3539 0406 374 51869  3060  90  1964
023129.50+263619.7 0.5073 2399 434 53764   658 171   627
024546.10-085842.0 0.1484 0456 133 51910   169  49   178
024646.74-001220.6 0.5640 1511 197 52946   366 120   391
025951.32+003745.5 0.4711 1067 397 52616  -247  30  -134
030555.41+002153.1 0.4023 0803 336 52318   195  60   400
031949.72-065459.2 0.7142 0460 425 51924   558  90   796
031959.41-072048.2 0.7044 0460 228 51924  -590 153  -558
032213.89+005513.4 0.1854 0414 341 51901  -291  30  -197
032838.28-000341.6 0.3037 1517 306 52934   631 145   657
052606.08+630257.5 0.5127 2302 365 53709  -248  60  -292
072818.56+363310.6 0.5247 2073 474 53728   395  61   515
073413.90+321722.8 0.3344 0541 225 51959  -128  30  -117
073915.35+401445.7 0.2925 0432 382 51884  -693 149  -652
074343.59+202333.8 0.7042 1263 255 52708  -417  60  -491
074541.66+314256.6 0.4616 0755 046 52235  -775  89  2331
074618.94+194900.6 0.2630 1263 075 52708  -134  41  -197
074819.04+335310.9 0.2809 0756 225 52577  -381  60  -305
074829.91+334613.9 0.3302 0756 226 52577   162  52   205
074906.50+451033.8 0.1923 1736 620 53052   156  30   582
074948.26+345444.0 0.1320 0542 560 51993   312  30   272
075112.18+174351.7 0.1865 1920 157 53314  -118  30  -267
075409.86+291035.0 0.3405 1060 056 52636  -288  55  -288
075526.32+343825.2 0.6551 1150 109 52644  -225  30  -124
