System Type,Equinox,Brightness1,Brightness_band1,Brightness_type1,Paper(s),BibCode(s),DOI(s),Notes,Name1,Name2,Selection Method,Confirmation Method,z1,z1_type,z2,z2_type,RA1,Dec1,RA2,Dec2,RA1_deg,Dec1_deg,RA2_deg,Dec2_deg,Brightness2,Brightness_band2,Brightness_type2,dV,Coordinate_waveband1,Coordinate_Source1,Equinox1,Sep
Recoil Candidate,J2000,17.0,B (Simbad),mag (Check Simbad),Spinrad+1985 ; Merritt+2002 ; Cheung+2007, ; 2002Sci...297.1310M ; 2007AJ....133.2097C, ; https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1086/513095, ,3C 136.1,3C 136.1,X-Shaped Radio Source,-99,0.064,-99,-99,-99,05:16:03.133,+24:58:25.47,05:16:03.133,+24:58:25.47,79.01305416666665,24.973741666666665,79.01305416666665,24.973741666666665,17.0,B (Simbad),mag (Check Simbad),-99,Infrared,2MASS,-99,0.0
Recoil Candidate,J2000,15.46,B (Simbad),mag (Check Simbad),Sandage+1966 ; Cheung+2007,nan ; 2007AJ....133.2097C,nan ; https://doi.org/10.1086/513095, ,3C 192,3C 192,X-Shaped Radio Source,-99,0.05968,-99,-99,-99,08:05:35.0057673498,+24:09:50.334614040,08:05:35.0057673498,+24:09:50.334614040,121.39585736395749,24.163981837233333,121.39585736395749,24.163981837233333,15.46,B (Simbad),mag (Check Simbad),-99,Optical,Gaia,-99,0.0
Recoil Candidate,J2000,16.4,V (Simbad),mag (Check Simbad),Sandage+1966 ; Dennett-Thorpe+2002 ; Merritt+2002 ; Cheung+2007, ; 2002MNRAS.330..609D ; 2002Sci...297.1310M ; 2007AJ....133.2097C, ; https://doi.org/10.1046/j.1365-8711.2002.05106.x ; https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1086/513095, ,3C 223.1,3C 223.1,X-Shaped Radio Source,-99,0.1075,-99,-99,-99,09:41:24.0272828657,+39:44:41.806341013,09:41:24.0272828657,+39:44:41.806341013,145.35011367860707,39.744946205836946,145.35011367860707,39.744946205836946,16.4,V (Simbad),mag (Check Simbad),-99,Optical,Gaia,-99,0.0
Recoil Candidate,J2000,16.3,B (Simbad),mag (Check Simbad),Schmidt+1965 ; Merritt+2002 ; Cheung+2007, ; 2002Sci...297.1310M ; 2007AJ....133.2097C, ; https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1086/513095, ,3C 315,3C 315,X-Shaped Radio Source,-99,0.1083,-99,-99,-99,15:13:40.0227468596,+26:07:23.710955469,15:13:40.0227468596,+26:07:23.710955469,228.4167614452483,26.123253043185834,228.4167614452483,26.123253043185834,16.3,B (Simbad),mag (Check Simbad),-99,Optical,Gaia,-99,0.0
Recoil Candidate,J2000,18.0,V (Simbad),mag (Check Simbad),Smith+1976 ; Cheung+2007,nan ; 2007AJ....133.2097C,nan ; https://doi.org/10.1086/513095, ,3C 379.1,3C 379.1,X-Shaped Radio Source,-99,0.256,-99,-99,-99,18:24:33.061,+74:20:58.57,18:24:33.061,+74:20:58.57,276.13775416666664,74.34960277777778,276.13775416666664,74.34960277777778,18.0,V (Simbad),mag (Check Simbad),-99,Infrared,2MASS,-99,0.0
Recoil Candidate,J2000,16.5,V (Simbad),mag (Check Simbad),Sandage+1972 ; Dennett-Thorpe+2002 ; Merritt+2002 ; Cheung+2007, ; 2002MNRAS.330..609D ; 2002Sci...297.1310M ; 2007AJ....133.2097C, ; https://doi.org/10.1046/j.1365-8711.2002.05106.x ; https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1086/513095, ,3C 403,3C 403,X-Shaped Radio Source,-99,0.059,-99,-99,-99,19:52:15.7997953344,+02:30:24.235518851,19:52:15.7997953344,+02:30:24.235518851,298.06583248055995,2.506732088569722,298.06583248055995,2.506732088569722,16.5,V (Simbad),mag (Check Simbad),-99,Optical,Gaia,-99,0.0
Recoil Candidate,J2000,16.35,V (Simbad),mag (Check Simbad),Schmidt+1965 ; Merritt+2002 ; Cheung+2007, 2002Sci...297.1310M ; 2007AJ....133.2097C, ; https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1086/513095, ,3C 433,3C 433,X-Shaped Radio Source,-99,0.101757,-99,-99,-99,21:23:44.582,+25:04:27.23,21:23:44.582,+25:04:27.23,320.9357583333333,25.074230555555555,320.9357583333333,25.074230555555555,16.35,V (Simbad),mag (Check Simbad),-99,Infrared,-99,-99,0.0
Recoil Candidate,J2000,18.5,B (Simbad),mag (Check Simbad),Spinrad+1985 ; Merritt+2002 ; Cheung+2007, ; 2002Sci...297.1310M ; 2007AJ....133.2097C, ; https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1086/513095, ,3C 52,3C 52,X-Shaped Radio Source,-99,0.29,-99,-99,-99,01:48:28.884,+53:32:28.19,01:48:28.884,+53:32:28.19,27.120349999999995,53.54116388888889,27.120349999999995,53.54116388888889,18.5,B (Simbad),mag (Check Simbad),-99,Infrared,2MASS,-99,0.0
Recoil Candidate,J2000,18.5,B (Simbad),mag (Check Simbad),Smith+1980 ; Cheung+2009 ; Cheung+2007,nan ; 2007AJ....133.2097C,nan ; https://doi.org/10.1086/513095, ,3C 63,3C 63,X-Shaped Radio Source,-99,0.175,-99,-99,-99,02:20:54.3,-01:56:51,02:20:54.3,-01:56:51,35.22624999999999,-1.9475,35.22624999999999,-1.9475,18.5,B (Simbad),mag (Check Simbad),-99,Optical,-99,-99,0.0
Recoil Candidate,J2000,17.75,V (Simbad),mag (Check Simbad),Wang+2003 ; Liu+2004 ; Cheung+2007 ; Proctor+2011, ; 2004MNRAS.347.1357L ; 2007AJ....133.2097C ; 2011ApJS..194...31P, ; https://doi.org/10.1111/j.1365-2966.2004.07325.x ; https://doi.org/10.1086/513095 ; https://doi.org/10.1088/0067-0049/194/2/31, ,4C 01.30,4C 01.30,X-Shaped Radio Source,-99,0.13258,-99,-99,-99,11:30:21.4202517083,+00:58:23.044644843,11:30:21.4202517083,+00:58:23.044644843,172.58925104878458,0.9730679569008334,172.58925104878458,0.9730679569008334,17.75,V (Simbad),mag (Check Simbad),-99,Optical,Gaia,-99,0.0
