Literature_name, Component_name, Discovery_type, z, z_type, RA_chandra, Dec_chandra, RA_Hubble, Dec_Hubble, Coord_lambda_nu, Coord_source, delta_x(kpc), Type, Bibcode(s) , DOI , Notes
J0841+0101 , NE , optical spectroscopy ; X-ray sources , 0.111 , spec , 08:41:35.079 , +01:01:56.26 , 08:41:35.090 , +01:01:56.40 , X-ray/Optical , Chandra/Hubble ,  , Dual/Offset AGN Candidate, 2020ApJ...892...29F ; 2015ApJ...806..219C , https://doi.org/10.3847/1538-4357/ab72fa ; https://doi.org/10.1088/0004-637X/806/2/219 , Conflicting conclusions in literature. See Comerford+2015 & Pfeifle+2019 but also Foord+2020.
J0841+0101 , SW , optical spectroscopy ; X-ray sources , 0.111 , spec , 08:41:34.913 , +01:01:53.90 , 08:41:34.894 , +01:01:53.84 , X-ray/Optical , Chandra/Hubble ,  , Dual/Offset AGN Candidate, 2020ApJ...892...29F ; 2015ApJ...806..219C , https://doi.org/10.3847/1538-4357/ab72fa ; https://doi.org/10.1088/0004-637X/806/2/219 , Conflicting conclusions in literature. See Comerford+2015 & Pfeifle+2019 but also Foord+2020.

J0952+2552 , NE , optical spectroscopy ; X-ray sources , 0.339 , spec , 09:52:07.608 , +25:52:57.29 , 09:52:07.611 , +25:52:57.23 , X-ray/Optical , Chandra/Hubble ,  , Dual/Offset AGN , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 , 
J0952+2552 , SW , optical spectroscopy ; X-ray sources , 0.339 , spec , 09:52:07.597 , +25:52:56.27 , 09:52:07.604 , +25:52:56.24 , X-ray/Optical , Chandra/Hubble ,  , Dual/Offset AGN , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 , 

J1126+2944 , NW , optical spectroscopy ; X-ray sources , 0.102 , spec , 11:26:59.558 , +29:44:42.48 , 11:26:59.569 , +29:44:42.63 , X-ray/Optical , Chandra/Hubble ,  , Dual AGN        , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 , 
J1126+2944 , SE , optical spectroscopy ; X-ray sources , 0.102 , spec , 11:26:59.622 , +29:44:41.69 , 11:26:59.631 , +29:44:41.92 , X-ray/Optical , Chandra/Hubble ,  , Dual AGN        , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 , 

J1239+5314 , NE , optical spectroscopy ; X-ray sources , 0.201 , spec , 12:39:15.452 , +53:14:15.14 , 12:39:15.454 , +53:14:15.14 , X-ray/Optical , Chandra/Hubble ,  , Dual/Offset AGN , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 , 
J1239+5314 , SW , optical spectroscopy ; X-ray sources , 0.201 , spec , 12:39:15.417 , +53:14:14.77 , 12:39:15.454 , +53:14:15.14 , X-ray/Optical , Chandra/Hubble ,  , Dual/Offset AGN , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 , 

J1322+2631 , SW , optical spectroscopy ; X-ray sources , 0.144 , spec , 13:22:31.803 , +26:31:58.72 , 13:22:31.796 , +26:31:58.65 , X-ray/Optical , Chandra/Hubble ,  , Dual/Offset AGN , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 , 
J1322+2631 , NE , optical spectroscopy ; X-ray sources , 0.144 , spec , 13:22:31.976 , +26:31:59.23 , 13:22:31.968 , +26:31:59.02 , X-ray/Optical , Chandra/Hubble ,  , Dual/Offset AGN , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 , 

J1356+1026 , NE , optical spectroscopy ; X-ray sources , 0.123 , spec , 13:56:46.115 , +10:26:08.83 , 13:56:46.128 , +10:26:08.61 , X-ray/Optical , Chandra/Hubble ,  , Dual/Offset AGN , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 , 
J1356+1026 , SW , optical spectroscopy ; X-ray sources , 0.123 , spec , 13:56:46.104 , +10:26:07.59 , 13:56:46.120 , +10:26:07.29 , X-ray/Optical , Chandra/Hubble ,  , Dual/Offset AGN , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 , 




Literature_Name, component_name, Discovery_type, z, z_type, RA_Chandra, Dec_Chandra, RA_HST, Dec_HST, Coord_flag, Coord_lamda_nu, Coord_source, sep(OIII kpc), Type, Bibcode(s) , DOI , Notes
J0142−0050 , NW , Optical Spectroscopy / X-ray sources , 0.133 , spec , 01:42:09.008 , −00:50:49.98 , 01:42:09.003 , −00:50:49.94 , 1 , X-ray/Optical , Chandra/Hubble , 1.84 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 ,  
J0142−0050 , SE , Optical Spectroscopy / X-ray sources , 0.133 , spec , 01:42:09.034 , −00:50:50.59 ,          -99 ,          -99 , 1 ,         X-ray ,        Chandra , 1.84 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 ,  
J0752+2736 , NW , Optical Spectroscopy / X-ray sources , 0.069 , spec ,          -99 ,          -99 ,          -99 ,          -99 , 0 ,         X-ray ,        Chandra , 1.07 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 ,  
J0752+2736 , SE , Optical Spectroscopy / X-ray sources , 0.069 , spec ,          -99 ,          -99 ,          -99 ,          -99 , 0 ,         X-ray ,        Chandra , 1.07 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 ,  
J0841+0101 , NE , Optical Spectroscopy / X-ray sources , 0.111 , spec , 08:41:35.079 , +01:01:56.26 , 08:41:35.090 , +01:01:56.40 , 1 , X-ray/Optical , Chandra/Hubble , 7.28 , Dual AGN Candidate , 2020ApJ...892...29F ; 2015ApJ...806..219C , https://doi.org/10.3847/1538-4357/ab72fa ; https://doi.org/10.1088/0004-637X/806/2/219 , Conflicting conclusions in literature. See Comerford+2015 & Pfeifle+2019 but also Foord+2020.
J0841+0101 , SW , Optical Spectroscopy / X-ray sources , 0.111 , spec , 08:41:34.913 , +01:01:53.90 , 08:41:34.894 , +01:01:53.84 , 1 , X-ray/Optical , Chandra/Hubble , 7.28 , Dual AGN Candidate , 2020ApJ...892...29F ; 2015ApJ...806..219C , https://doi.org/10.3847/1538-4357/ab72fa ; https://doi.org/10.1088/0004-637X/806/2/219 , Conflicting conclusions in literature. See Comerford+2015 & Pfeifle+2019 but also Foord+2020.
J0854+5026 , NE , Optical Spectroscopy / X-ray sources , 0.096 , spec , 08:54:16.808 , +50:26:32.08 , 08:54:16.776 , +50:26:32.10 , 1 , X-ray/Optical , Chandra/Hubble , 1.35 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 ,
J0854+5026 , SW , Optical Spectroscopy / X-ray sources , 0.096 , spec , 08:54:16.761 , +50:26:31.43 ,          -99 ,          -99 , 0 ,         X-ray ,        Chandra , 1.35 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 ,
J0952+2552 , NE , Optical Spectroscopy / X-ray sources , 0.339 , spec , 09:52:07.608 , +25:52:57.29 , 09:52:07.611 , +25:52:57.23 , 1 , X-ray/Optical , Chandra/Hubble , 4.85 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 ,
J0952+2552 , SW , Optical Spectroscopy / X-ray sources , 0.339 , spec , 09:52:07.597 , +25:52:56.27 , 09:52:07.604 , +25:52:56.24 , 1 , X-ray/Optical , Chandra/Hubble , 4.85 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 ,
J1006+4647 , W  , Optical Spectroscopy / X-ray sources , 0.123 , spec , 10:06:54.222 , +46:47:16.62 , 10:06:54.237 , +46:47:16.71 , 1 , X-ray/Optical , Chandra/Hubble , 1.82 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 ,
J1006+4647 , E  , Optical Spectroscopy / X-ray sources , 0.123 , spec , 10:06:54.300 , +46:47:16.63 ,          -99 ,          -99 , 0 ,         X-ray ,        Chandra , 1.82 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 ,
J1126+2944 , NW , Optical Spectroscopy / X-ray sources , 0.102 , spec , 11:26:59.558 , +29:44:42.48 , 11:26:59.569 , +29:44:42.63 , 1 , X-ray/Optical , Chandra/Hubble , 1.76 , Dual AGN           , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 , 
