Name,Double peaks,Number of Optical AGN,References,SDSS Link,Confirmation Method ,Nustar,Separtion (kpc),Separation (arcsec),z,DL,Dcm,cntr_01,dist_x,ra_01,dec_01,ra,dec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,w1w2,w2w3,jarrettAGN,WISE SNR > 3 in first 3 bands,FW2,LW2,LX_2-10_observed
SDSSJ150243.1+111557,Yes,2,Fu et al 2011,SDSS,ROSAT/EVLA/SDSS,n,7.4,1.4,0.391,2114.508325,6.52E+27,1,0.431386,225.679583,11.26583333,225.6796859,11.2658984,13.68,0.025,43.3,1.522,12.633,0.024,45.9,1.077,9.568,0.037,29.2,0.8549,6.577,0.049,22.2,1.091,1.047,3.065,TRUE,TRUE,2.23E-13,1.19E+44,
Mrk 739,No,1,Koss et al 2011,SDSS,Chandra,y,3.4,5.8,0.029,126.8632116,3.91E+26,2,2.787116,174.121958,21.59537778,174.1222275,21.5961104,9.906,0.022,48.5,24.98,9.09,0.02,53,9.813,5.994,0.015,72.5,17.9,3.792,0.023,47.3,4.208,0.816,3.096,TRUE,TRUE,5.82E-12,1.12E+43,
SDSSJ110851.04+065901.4,Yes,2,Liu et al 2013,SDSS,"Optical, NIR, Chandra, HST",n,1.5,0.5,0.182,882.38057,2.72E+27,3,0.169832,167.212667,6.983722222,167.2126507,6.9836778,13.614,0.027,40.1,1.523,12.891,0.028,39,1.05,9.071,0.033,33.1,0.9122,6.184,0.057,18.9,0.9949,0.723,3.82,FALSE,TRUE,1.76E-13,1.64E+43,
SDSSJ114642.47+511029.6,Yes,2,Liu et al 2013,SDSS,"Optical, NIR, Chandra, HST",n,6.3,2.7,0.13,610.1811054,1.88E+27,4,1.002124,176.676958,51.17488889,176.6772539,51.1750966,13.455,0.024,45.3,2.489,12.858,0.025,43.8,1.243,9.223,0.032,33.7,1.001,6.462,0.059,18.4,1.182,0.597,3.635,FALSE,TRUE,1.81E-13,8.06E+42,
NGC 6240,No,0,Komossa et al 2003,SDSS,Chandra,y,0.9,1.8,0.02448,106.7442569,3.29E+26,5,0.663159,253.245417,2.400833333,253.2454013,2.4010169,9.347,0.022,48.8,24.5,8.605,0.02,54.9,8.188,4.533,0.015,71.9,5.903,1.278,0.02,53.2,2.805,0.742,4.072,FALSE,TRUE,9.10E-12,1.24E+43,
Mrk 463,No ,1,Bianchi et al. 2008 ,SDSS,"Chandra, XMM",y,3.8,3.83±0.01,0.050355,223.8215231,6.91E+26,6,0.318989,209.012042,18.37174722,209.0120025,18.3716668,8.485,0.022,48.6,1.949,7.323,0.019,55.8,1.708,4.523,0.014,75,3.11,1.914,0.016,67.8,0.9033,1.162,2.8,TRUE,TRUE,2.96E-11,1.78E+44,
3C 75,No,Unknown,Owen et al. 1985 ,SDSS,VLA,n,6.4,14,0.023153,100.8704293,3.11E+26,7,0.370963,44.423167,6.026913889,44.4232257,6.0268292,10.433,0.025,43.8,24.34,10.439,0.021,51.4,13.11,9.775,0.058,18.7,1.245,7.904,0.242,4.5,0.9844,-0.006,0.664,FALSE,TRUE,1.68E-12,2.05E+42,
3C 75,No,Unknown,Owen et al. 1985 ,SDSS,VLA,n,6.4,14,0.023153,100.8704293,3.11E+26,7,0.370963,44.423167,6.026913889,44.4232257,6.0268292,10.763,0.023,48.2,43.669998,10.841,0.02,54.6,19.4,10.126,0.072,15,1.268,8.209,NaN,1.5,1.11,-0.078,0.715,FALSE,TRUE,1.16E-12,1.41E+42,
Mrk 266 / NGC 5256,No,1,Mazzarella et al 2012,SDSS,Chandra,y,6,10,0.027863,121.7860663,3.76E+26,8,4.446406,204.572917,48.27694444,204.571957,48.2758873,10.521,0.022,49.6,36.43,9.934,0.02,55.6,14.95,5.659,0.015,73.9,8.912,2.535,0.018,60.1,33.41,0.587,4.275,FALSE,TRUE,2.67E-12,4.75E+42,
SDSSJ171544.05+600835.7 ,Yes,2,Comerford et al 2011,SDSS,"SDSS, Chandra",n,1.9,0.68,0.157,749.6544006,2.31E+27,9,0.27382,258.933542,60.14325,258.9334339,60.1431961,14.106,0.025,43,1.548,13.725,0.028,39.1,0.9906,11.086,0.066,16.3,0.9078,7.645,0.073,14.9,1.08,0.381,2.639,FALSE,TRUE,8.15E-14,5.48E+42,
SDSSJ09527.62+255257.2,Yes,2,McGurk et al 2011,SDSS,Keck,n,4.8,1,0.339,1789.026306,5.52E+27,10,0.251054,148.03175,25.88255556,148.0317998,25.882609,13.167,0.024,44.9,1.152,12.158,0.023,47.4,1.075,9.484,0.042,25.7,0.9337,6.867,0.084,12.9,0.8742,1.009,2.674,TRUE,TRUE,3.45E-13,1.32E+44,
