,Name1,Name2,z1,z2,theta,r,gmag1,gmag2,RA1,Dec1,RA2,Dec2,Equinox,Coordinate_waveband,Coordinate_Source,System Type,z1_type,z2_type,Brightness_band1,Brightness_band2,Brightness_type1,Brightness_type2,delta_z,dV_rwp,Sep(kpc),Selection Method,Confirmation Method,Paper(s),Bibcode(s),DOI(s),RA1_deg,Dec1_deg,RA2_deg,Dec2_deg
0,SDSSJ0048-1051A,SDSSJ0048-1051B,1.555,1.56,3.6,22.1,20.52,20.05,0:48:0.77,-10:51:48.6,0:48:0.96,-10:51:46.2,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,-0.0050000000000001155,-584.5546711513671,30.493065570179276,{chi}^2^,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,12.003208333333331,-10.8635,12.004,-10.862833333333333
1,SDSSJ0054-0946A,SDSSJ0054-0946B,2.127,2.11,14.1,84.5,17.9,20.7,0:54:8.47,-9:46:38.3,0:54:8.04,-9:46:25.7,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,0.016999999999999904,1629.9381873601515,117.13046216084473,{chi}^2^,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,13.535291666666666,-9.777305555555557,13.533499999999998,-9.773805555555557
2,SDSSJ0117+3153A,SDSSJ0117+3153B,2.626,2.64,11.3,65.3,20.42,19.77,1:17:8.39,+31:53:38.7,1:17:7.52,+31:53:41.2,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,-0.014000000000000234,-1152.2115220410003,90.20492591288534,,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,19.28495833333333,31.894083333333334,19.28133333333333,31.894777777777776
3,SDSSJ0201+0032A,SDSSJ0201+0032B,2.299,2.293,19.0,112.4,19.42,20.33,2:1:43.49,+0:32:22.7,2:1:42.25,+0:32:18.5,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,0.005999999999999783,544.2956655812224,155.91106886798028,{chi}^2^,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,30.431208333333327,0.5396388888888889,30.42604166666666,0.5384722222222222
4,SDSSJ0248+0009A,SDSSJ0248+0009B,1.641,1.64,6.9,41.9,19.26,20.73,2:48:20.8,+0:9:56.7,2:48:21.26,+0:9:57.3,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,0.001000000000000112,113.23612546071516,58.452965172752734,{chi}^2^,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,42.08666666666666,0.16575,42.088583333333325,0.16591666666666666
5,SDSSJ0332-0722A,SDSSJ0332-0722B,2.102,2.112,18.1,108.4,20.35,20.63,3:32:38.38,-7:22:15.9,3:32:37.19,-7:22:19.6,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,-0.010000000000000231,-962.3406040146976,150.60140484411335,photo,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,53.15991666666666,-7.371083333333333,53.154958333333326,-7.372111111111111
6,SDSSJ0846+2749A,SDSSJ0846+2749B,2.119,2.114,18.8,112.4,19.69,19.87,8:46:31.77,+27:49:21.9,8:46:30.38,+27:49:18.1,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,0.0050000000000003375,479.70448836016936,156.2553088667159,{chi}^2^,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,131.632375,27.82275,131.62658333333334,27.821694444444443
7,SDSSJ0939+5953A,SDSSJ0939+5953B,2.527,2.53,32.6,189.4,19.86,18.68,9:39:48.78,+59:53:48.7,9:39:46.56,+59:53:20.7,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,-0.0029999999999996696,-254.2156264405671,262.5387570118203,{chi}^2^,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,144.95325,59.89686111111111,144.944,59.88908333333333
8,SDSSJ0955+6045A,SDSSJ0955+6045B,0.716,0.719,18.6,95.5,20.37,20.65,9:55:24.37,+60:45:51.0,9:55:25.37,+60:45:33.8,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,-0.0030000000000000027,-522.2703439901161,134.10484215574,{chi}^2^,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,148.85154166666663,60.76416666666667,148.85570833333333,60.759388888888886
9,SDSSJ0959+5449A,SDSSJ0959+5449B,1.954,1.956,3.9,23.8,20.07,20.61,9:59:7.46,+54:49:6.7,9:59:7.05,+54:49:8.4,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,-0.0020000000000000018,-202.36884315278317,32.725231658112044,photo,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,149.78108333333333,54.81852777777778,149.77937499999996,54.819
10,SDSSJ1010+0416A,SDSSJ1010+0416B,1.51,1.51,17.2,104.3,20.08,20.19,10:10:4.98,+4:16:36.2,10:10:4.37,+4:16:21.6,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,0.0,0.0,145.58869231268727,{chi}^2^,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,152.52074999999996,4.276722222222222,152.51820833333332,4.272666666666667
11,SDSSJ1014+0920A,SDSSJ1014+0921B,2.293,2.291,22.0,129.8,19.14,20.27,10:14:11.43,+9:20:47.7,10:14:10.29,+9:21:1.7,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,0.002000000000000224,181.65247412516382,180.61148385330074,{chi}^2^,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,153.54762499999998,9.346583333333333,153.54287499999998,9.350472222222223
12,SDSSJ1028+3929A,SDSSJ1028+3929B,1.895,1.885,7.5,45.6,19.89,20.8,10:28:43.67,+39:29:36.9,10:28:44.3,+39:29:34.8,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,0.010000000000000009,1034.5989793016802,63.10761432333861,photo,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,157.1819583333333,39.49358333333333,157.1845833333333,39.493
13,2QZJ1056-0059A,SDSSJ1056-0059B,2.132,2.128,7.2,43.1,19.93,20.8,10:56:44.89,-0:59:33.4,10:56:45.25,-0:59:38.1,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,0.0040000000000000036,382.1084701860737,59.79168616300851,{chi}^2^,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,164.18704166666666,-0.9926111111111111,164.18854166666665,-0.9939166666666666
