Name1,z1,Selection Method,Confirmation Method,i_band_psfmag(extcorr)1,Name2,z2,i_band_psfmag(extcorr)2,Sep_as,Comment,z1_type,z2_type,RA1,Dec1,RA2,Dec2,RA1_deg,Dec1_deg,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,Equinox2,Coordinate_waveband2,Coordinate_Source2,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Paper(s),BibCode(s),DOI(s),Notes
SDSSJ032029.75+000650.0,1.704,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging / Optical Colors,,19.05,SDSSJ032030.90+000658.0,-99.0,20.34,18.99,No lens object ,spec,-99,03:20:29.75,+00:06:50.0,03:20:30.90,+00:06:58.0,50.123958333333334,0.1138888888888889,50.12875,0.11611111111111111,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,18.99,-99.0,Inada+2010,2010AJ....140..403I,https://doi.org/10.1088/0004-6256/140/2/403,-99
SDSSJ034347.00-000706.5,1.975,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging / Optical Colors,,18.85,SDSSJ034347.48-000658.9,-99.0,19.3,10.49,No lens object ,spec,-99,03:43:47.00,-00:07:06.5,03:43:47.48,-00:06:58.9,55.945833333333326,-0.11847222222222223,55.94783333333333,-0.11636111111111111,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,10.49,-99.0,Inada+2010,2010AJ....140..403I,https://doi.org/10.1088/0004-6256/140/2/403,-99
SDSSJ072653.68+394706.9,1.599,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging / Optical Colors,,18.92,SDSSJ072653.66+394710.6,-99.0,18.84,3.69,No lens object ,spec,-99,07:26:53.68,+39:47:06.9,07:26:53.66,+39:47:10.6,111.72366666666666,39.78525,111.72358333333332,39.78627777777778,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.69,-99.0,Inada+2010,2010AJ....140..403I,https://doi.org/10.1088/0004-6256/140/2/403,-99
SDSSJ074550.99+503423.1,1.737,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging / Optical Colors,,18.98,SDSSJ074550.78+503430.3,-99.0,19.84,7.44,No lens object ,spec,-99,07:45:50.99,+50:34:23.1,07:45:50.78,+50:34:30.3,116.46245833333332,50.57308333333334,116.46158333333331,50.57508333333334,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,7.44,-99.0,Inada+2010,2010AJ....140..403I,https://doi.org/10.1088/0004-6256/140/2/403,-99
SDSSJ080932.70+193847.2,1.67,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging / Optical Colors,,18.49,SDSSJ080931.82+193849.3,-99.0,19.28,12.68,No lens object ,spec,-99,08:09:32.70,+19:38:47.2,08:09:31.82,+19:38:49.3,122.38624999999999,19.646444444444445,122.38258333333332,19.647027777777776,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,12.68,-99.0,Inada+2010,2010AJ....140..403I,https://doi.org/10.1088/0004-6256/140/2/403,-99
SDSSJ081210.96+070826.2,1.862,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging / Optical Colors,,17.65,SDSSJ081210.93+070838.7,-99.0,16.89,12.39,No lens object ,spec,-99,08:12:10.96,+07:08:26.2,08:12:10.93,+07:08:38.7,123.04566666666665,7.140611111111111,123.04554166666664,7.144083333333334,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,12.39,-99.0,Inada+2010,2010AJ....140..403I,https://doi.org/10.1088/0004-6256/140/2/403,-99
SDSSJ084109.72+250200.2,1.227,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging / Optical Colors,,19.06,SDSSJ084109.88+250216.0,-99.0,20.13,15.89,no lens object ,spec,-99,08:41:09.72,+25:02:00.2,08:41:09.88,+25:02:16.0,130.2905,25.03338888888889,130.29116666666664,25.03777777777778,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,15.89,-99.0,Inada+2010,2010AJ....140..403I,https://doi.org/10.1088/0004-6256/140/2/403,-99
SDSSJ084359.79+073229.7,2.175,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging / Optical Colors,,19.02,SDSSJ084359.89+073215.9,-99.0,20.28,13.97,no lens object ,spec,-99,08:43:59.79,+07:32:29.7,08:43:59.89,+07:32:15.9,130.999125,7.5415833333333335,130.99954166666666,7.53775,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,13.97,-99.0,Inada+2010,2010AJ....140..403I,https://doi.org/10.1088/0004-6256/140/2/403,-99
SDSSJ085705.91+270149.0,1.419,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging / Optical Colors,,19.08,SDSSJ085706.14+270147.6,-99.0,20.06,3.36,No lens object ,spec,-99,08:57:05.91,+27:01:49.0,08:57:06.14,+27:01:47.6,134.27462499999996,27.030277777777776,134.2755833333333,27.029888888888888,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.36,-99.0,Inada+2010,2010AJ....140..403I,https://doi.org/10.1088/0004-6256/140/2/403,-99
SDSSJ090323.94+313445.6,1.217,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging / Optical Colors,,18.99,SDSSJ090324.19+313443.6,-99.0,19.23,3.78,No lens object ,spec,-99,09:03:23.94,+31:34:45.6,09:03:24.19,+31:34:43.6,135.84975,31.579333333333334,135.85079166666665,31.578777777777777,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.78,-99.0,Inada+2010,2010AJ....140..403I,https://doi.org/10.1088/0004-6256/140/2/403,-99
