Name1,z1,imag1,Name2,z2,imag2,theta,Com,z1_type,z2_type,RA1,Dec1,RA2,Dec2,RA1_deg,Dec1_deg,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,Equinox2,Coordinate_waveband2,Coordinate_Source2,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),Notes,dV
SDSSJ080713.57+155844.5,2.159,18.97,SDSSJ080713.05+155838.5,-99.0,19.7,9.72,no lensing object,spec,-99,08:07:13.57,+15:58:44.5,08:07:13.05,+15:58:38.5,121.80654166666665,15.979027777777778,121.80437499999998,15.977361111111112,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,9.72,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ081753.35+125821.5,1.975,18.77,SDSSJ081754.04+125836.0,1.7,19.49,17.57,QSO pair,spec,spec,08:17:53.35,+12:58:21.5,08:17:54.04,+12:58:36.0,124.47229166666666,12.97263888888889,124.47516666666665,12.976666666666667,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,17.57,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,28910.08712487899
SDSSJ082911.62+114008.7,1.476,18.99,SDSSJ082910.61+114012.1,0.802,18.52,15.23,QSO pair,spec,spec,08:29:11.62,+11:40:08.7,08:29:10.61,+11:40:12.1,127.29841666666663,11.669083333333333,127.2942083333333,11.670027777777777,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,15.23,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,91933.0830964258
SDSSJ083805.87+145152.2,0.981,19.04,SDSSJ083805.69+145152.7,-99.0,20.26,2.64,no lensing object,spec,-99,08:38:05.87,+14:51:52.2,08:38:05.69,+14:51:52.7,129.5244583333333,14.8645,129.5237083333333,14.864638888888889,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.64,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ090437.50+113427.7,0.918,19.0,SDSSJ090437.41+113426.2,-99.0,18.74,2.06,no lensing object,spec,-99,09:04:37.50,+11:34:27.7,09:04:37.41,+11:34:26.2,136.15624999999997,11.574361111111111,136.15587499999998,11.573944444444445,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.06,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ091146.01+235112.6,1.463,18.82,SDSSJ091146.17+235114.2,-99.0,19.54,2.61,no lensing object,spec,-99,09:11:46.01,+23:51:12.6,09:11:46.17,+23:51:14.2,137.9417083333333,23.8535,137.94237499999997,23.853944444444444,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.61,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ093230.57+161008.5,1.918,18.86,SDSSJ093230.73+161006.2,-99.0,19.91,3.32,no lensing object,spec,-99,09:32:30.57,+16:10:08.5,09:32:30.73,+16:10:06.2,143.12737499999997,16.169027777777778,143.12804166666663,16.16838888888889,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.32,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ095657.64+212818.6,1.548,18.11,SDSSJ095657.83+212759.0,-99.0,19.08,19.92,no lensing object,spec,-99,09:56:57.64,+21:28:18.6,09:56:57.83,+21:27:59.0,149.24016666666665,21.471833333333333,149.2409583333333,21.46638888888889,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,19.92,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ100817.27+141908.6,1.513,19.08,SDSSJ100817.89+141909.1,-99.0,19.47,8.93,no lensing object,spec,-99,10:08:17.27,+14:19:08.6,10:08:17.89,+14:19:09.1,152.07195833333333,14.319055555555556,152.07454166666665,14.319194444444443,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,8.93,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ100941.34+250104.0,1.873,18.82,SDSSJ100940.58+250053.9,1.982,19.56,14.59,QSO pair,spec,spec,10:09:41.34,+25:01:04.0,10:09:40.58,+25:00:53.9,152.42224999999996,25.017777777777777,152.41908333333333,25.014972222222223,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,14.59,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-11128.850089286712
SDSSJ101344.23+285043.5,1.559,18.98,SDSSJ101344.17+285038.1,-99.0,19.74,5.53,no lensing object,spec,-99,10:13:44.23,+28:50:43.5,10:13:44.17,+28:50:38.1,153.43429166666664,28.845416666666665,153.43404166666664,28.843916666666665,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,5.53,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ102143.28+193425.4,1.436,18.87,SDSSJ102143.57+193421.0,1.87,20.01,6.01,QSO pair,spec,spec,10:21:43.28,+19:34:25.4,10:21:43.57,+19:34:21.0,155.43033333333332,19.573722222222223,155.43154166666662,19.572499999999998,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,6.01,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-48587.8618552994
SDSSJ104143.09+195722.1,1.843,18.81,SDSSJ104143.86+195724.4,2.144,19.31,10.91,QSO pair,spec,spec,10:41:43.09,+19:57:22.1,10:41:43.86,+19:57:24.4,160.42954166666667,19.956138888888887,160.43274999999997,19.956777777777777,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,10.91,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-29989.00580134505
SDSSJ104836.68+213843.9,1.856,19.04,SDSSJ104836.59+213823.9,-99.0,18.26,20.09,no lensing object,spec,-99,10:48:36.68,+21:38:43.9,10:48:36.59,+21:38:23.9,162.15283333333332,21.645527777777776,162.15245833333333,21.639972222222223,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,20.09,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ105406.95+315644.6,1.389,18.88,SDSSJ105407.57+315659.2,-99.0,19.74,16.55,no lensing object,spec,-99,10:54:06.95,+31:56:44.6,10:54:07.57,+31:56:59.2,163.52895833333332,31.945722222222223,163.53154166666664,31.94977777777778,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,16.55,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
