Name1,RA1,Dec1,Name2,RA2,Dec2,Name3,RA3,Dec3
J075925.27+375216.0,07:59:25.27,+37:52:16.0,J075931.83+375252.2,07:59:31.83,+37:52:52.2,J075932.30+375319.5,07:59:32.30,+37:53:19.5
J082846.95+122724.1,08:28:46.95,+12:27:24.1,J082847.93+122832.0,08:28:47.93,+12:28:32.0,J082851.50+122726.8,08:28:51.50,+12:27:26.8
J085927.64+173344.9,08:59:27.64,+17:33:44.9,J085930.05+173409.2,08:59:30.05,+17:34:09.2,J085931.39+173253.6,08:59:31.39,+17:32:53.6
J090515.73+075618.9,09:05:15.73,+07:56:18.9,J090516.12+075522.3,09:05:16.12,+07:55:22.3,J090520.84+075440.1,09:05:20.84,+07:54:40.1
J095942.61+261914.2,09:59:42.61,+26:19:14.2,J095947.21+261711.4,09:59:47.21,+26:17:11.4,J095948.15+261845.8,09:59:48.15,+26:18:45.8
J100722.96+230234.1,10:07:22.96,+23:02:34.1,J100725.21+230114.8,10:07:25.21,+23:01:14.8,J100732.36+230131.7,10:07:32.36,+23:01:31.7
J102207.11+175017.2,10:22:07.11,+17:50:17.2,J102212.61+175134.8,10:22:12.61,+17:51:34.8,J102212.87+175113.6,10:22:12.87,+17:51:13.6
J102223.90+154443.1,10:22:23.90,+15:44:43.1,J102228.54+154514.0,10:22:28.54,+15:45:14.0,J102228.76+154339.0,10:22:28.76,+15:43:39.0
J102411.98+025234.2,10:24:11.98,+02:52:34.2,J102415.08+025327.5,10:24:15.08,+02:53:27.5,J102415.56+025241.6,10:24:15.56,+02:52:41.6
J102546.26+134300.7,10:25:46.26,+13:43:00.7,J102547.75+134456.9,10:25:47.75,+13:44:56.9,J102548.60+134340.6,10:25:48.60,+13:43:40.6
J105609.41+465341.7,10:56:09.41,+46:53:41.7,J105611.76+465250.5,10:56:11.76,+46:52:50.5,J105618.05+465155.4,10:56:18.05,+46:51:55.4
J110441.92+041750.4,11:04:41.92,+04:17:50.4,J110445.47+041755.2,11:04:45.47,+04:17:55.2,J110449.56+041636.0,11:04:49.56,+04:16:36.0
J110517.99+005328.3,11:05:17.99,+00:53:28.3,J110520.67+005317.1,11:05:20.67,+00:53:17.1,J110521.51+005256.5,11:05:21.51,+00:52:56.5
J110719.72+025820.5,11:07:19.72,+02:58:20.5,J110719.87+025926.0,11:07:19.87,+02:59:26.0,J110723.69+025829.3,11:07:23.69,+02:58:29.3
J111005.18+032833.7,11:10:05.18,+03:28:33.7,J111005.60+032836.2,11:10:05.60,+03:28:36.2,J111007.99+032639.5,11:10:07.99,+03:26:39.5
J114938.17-033408.7,11:49:38.17,-03:34:08.7,J114939.73-033146.9,11:49:39.73,-03:31:46.9,J114949.79-033103.7,11:49:49.79,-03:31:03.7
J120550.07+202837.2,12:05:50.07,+20:28:37.2,J120551.47+203119.1,12:05:51.47,+20:31:19.1,J120554.22+203421.1,12:05:54.22,+20:34:21.1
J120718.36+204450.9,12:07:18.36,+20:44:50.9,J120721.00+204503.5,12:07:21.00,+20:45:03.5,J120722.37+204353.6,12:07:22.37,+20:43:53.6
J121425.18+082251.9,12:14:25.18,+08:22:51.9,J121428.15+082225.6,12:14:28.15,+08:22:25.6,J121431.24+082225.7,12:14:31.24,+08:22:25.7
J121442.50+125924.8,12:14:42.50,+12:59:24.8,J121442.95+125746.4,12:14:42.95,+12:57:46.4,J121443.11+125837.4,12:14:43.11,+12:58:37.4
J131628.81+525737.2,13:16:28.81,+52:57:37.2,J131629.82+525601.2,13:16:29.82,+52:56:01.2,J131637.18+525447.6,13:16:37.18,+52:54:47.6
J132356.94+305917.0,13:23:56.94,+30:59:17.0,J132359.96+305556.7,13:23:59.96,+30:55:56.7,J132404.73+305723.5,13:24:04.73,+30:57:23.5
J133227.93+071859.2,13:32:27.93,+07:18:59.2,J133232.26+071739.1,13:32:32.26,+07:17:39.1,J133242.55+071938.1,13:32:42.55,+07:19:38.1
J141057.24+252950.0,14:10:57.24,+25:29:50.0,J141102.54+253109.7,14:11:02.54,+25:31:09.7,J141105.14+252857.9,14:11:05.14,+25:28:57.9
J141151.61-000303.2,14:11:51.61,-00:03:03.2,J141153.47-000302.3,14:11:53.47,-00:03:02.3,J141153.81-000203.0,14:11:53.81,-00:02:03.0
J141421.15+025721.2,14:14:21.15,+02:57:21.2,J141422.72+025834.5,14:14:22.72,+02:58:34.5,J141422.99+025840.8,14:14:22.99,+02:58:40.8
J143430.61+230529.9,14:34:30.61,+23:05:29.9,J143438.51+230443.2,14:34:38.51,+23:04:43.2,J143442.15+230637.5,14:34:42.15,+23:06:37.5
J143801.02+101051.5,14:38:01.02,+10:10:51.5,J143802.18+100944.5,14:38:02.18,+10:09:44.5,J143810.34+100805.8,14:38:10.34,+10:08:05.8
