Literature_Name , Component , Discovery_type , z , RA(FK5) , Dec(FK5) , Coord_lambda_nu, Coord_source, Type, Bibcode(s) , DOI , Notes
J0122+0100 , NW ; Galaxy1 , X-ray Sources / Optical Spectroscopy / NIR Spectroscopy , 0.055901255 , 1:22:17.555 , +1:00:27.341  , X-ray , Chandra , Dual AGN Candidate , 2019ApJ...875..117P ; 2017ApJ...848..126S , https://doi.org/10.3847/1538-4357/ab07bc ; https://doi.org/10.3847/1538-4357/aa88ca , 
J0122+0100 , SE ; Galaxy2 , X-ray Sources / Optical Spectroscopy / NIR Spectroscopy , 0.05546235 , 1:22:18.083 , +1:00:24.723  , X-ray , Chandra , Dual AGN Candidate , 2019ApJ...875..117P ; 2017ApJ...848..126S , https://doi.org/10.3847/1538-4357/ab07bc ; https://doi.org/10.3847/1538-4357/aa88ca , 
J0841+0101 , E  ; Galaxy1 , X-ray Sources / Optical Spectroscopy / NIR Spectroscopy , 0.11060309 , 8:41:35.054 , +1:01:56.05  , X-ray , Chandra , Dual AGN Candidate , 2019ApJ...875..117P , https://doi.org/10.3847/1538-4357/ab07bc , 
J0841+0101 , W  ; Galaxy2 , X-ray Sources / Optical Spectroscopy / NIR Spectroscopy , -99 , 8:41:34.775 , +1:01:54.690  , X-ray , Chandra , Dual AGN Candidate , 2019ApJ...875..117P , https://doi.org/10.3847/1538-4357/ab07bc , 
J0849+1114 , SE ; Galaxy1 , X-ray Sources / Optical Spectroscopy / NIR Spectroscopy , 0.07727384 , 8:49:05.529 , +11:14:47.876  , X-ray , Chandra , Triple AGN Candidate , 2019ApJ...875..117P , https://doi.org/10.3847/1538-4357/ab07bc , 
J0849+1114 , SW ; Galaxy2 , X-ray Sources / Optical Spectroscopy / NIR Spectroscopy , 0.07727384 , 8:49:05.381 , +11:14:45.747  , X-ray , Chandra , Triple AGN Candidate , 2019ApJ...875..117P , https://doi.org/10.3847/1538-4357/ab07bc , 
J0849+1114 , N  ; Galaxy3 , X-ray Sources / Optical Spectroscopy / NIR Spectroscopy , 0.07765917 , 8:49:05.448 , +11:14:51.646  , X-ray , Chandra , Triple AGN Candidate , 2019ApJ...875..117P , https://doi.org/10.3847/1538-4357/ab07bc , 
J0859+1310 , NE ; Galaxy1 , X-ray Sources / Optical Spectroscopy / NIR Spectroscopy , 0.030829215 , 8:59:53.299 , +13:10:55.03  , X-ray , Chandra , Dual AGN Candidate , 2019ApJ...875..117P , https://doi.org/10.3847/1538-4357/ab07bc , 
J0859+1310 , SW ; Galaxy2 , X-ray Sources / Optical Spectroscopy / NIR Spectroscopy , 0.029698541 , 08:59:52.51, +13:10:44.39  , Optical , SDSS , Dual AGN Candidate , 2019ApJ...875..117P , https://doi.org/10.3847/1538-4357/ab07bc , 
J1036+0221 , -99 ; -99    , X-ray Sources / Optical Spectroscopy / NIR Spectroscopy , 0.050404277 , 10:36:31.88 , +02:21:44.10  , X-ray , Chandra , Dual AGN Candidate , 2019ApJ...875..117P ; 2017ApJ...848..126S , https://doi.org/10.3847/1538-4357/ab07bc ; https://doi.org/10.3847/1538-4357/aa88ca , 
J1045+3519 , W  ; Galaxy1 , X-ray Sources / Optical Spectroscopy / NIR Spectroscopy , 0.0675806 , 10:45:18.051 , +35:19:12.987  , X-ray , Chandra , Dual AGN Candidate , 2019ApJ...875..117P ; 2017ApJ...848..126S , https://doi.org/10.3847/1538-4357/ab07bc ; https://doi.org/10.3847/1538-4357/aa88ca , 
J1045+3519 , E  ; Galaxy2 , X-ray Sources / Optical Spectroscopy / NIR Spectroscopy , 0.06742243 , 10:45:18.42 , +35:19:12.93  , X-ray , Chandra , Dual AGN Candidate , 2019ApJ...875..117P ; 2017ApJ...848..126S , https://doi.org/10.3847/1538-4357/ab07bc ; https://doi.org/10.3847/1538-4357/aa88ca , 
J1147+0945 , S  ; Galaxy1 , X-ray Sources / Optical Spectroscopy / NIR Spectroscopy , 0.09513725 , 11:47:53.611 , +9:45:51.66  , X-ray , Chandra , Dual AGN Candidate , 2019ApJ...875..117P , https://doi.org/10.3847/1538-4357/ab07bc , 
