,zem1,Sep1,RA1,Dec1,zem2,RA2,Dec2,Equinox,Coordinate_waveband,Coordinate_Source,delta_z,dV,Sep(kpc),Paper(s),bibcode(s),DOI(s),RA1_deg,Dec1_deg,RA2_deg,Dec2_deg,index
0,1.878,88.64,0:44:34.08,+0:19:3.5,1.866,0:44:39.33,+0:18:22.8,J2000,NA,NA,0.011999999999999789,1249.2981686189532,746.3892706482881,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,11.141999999999998,0.31763888888888886,11.163874999999997,0.30633333333333335,0
1,1.97,12.04,2:9:54.8,-10:2:23.0,1.976,2:10:0.1,-10:3:54.0,J2000,NA,NA,-0.006000000000000005,-603.4302634607269,100.94644190230234,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,32.478333333333325,-10.039722222222222,32.500416666666666,-10.065000000000001,1
2,2.554,72.04,3:10:36.47,-30:51:8.4,2.544,3:10:41.06,-30:50:27.5,J2000,NA,NA,0.009999999999999787,842.4891702749718,578.7903431404812,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,47.651958333333326,-30.852333333333334,47.67108333333333,-30.84097222222222,2
3,2.043,149.34,11:45:47.55,-0:31:6.7,2.055,11:45:53.67,-0:33:4.5,J2000,NA,NA,-0.01200000000000001,-1176.774714871947,1247.070129063055,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,176.44812499999998,-0.5185277777777778,176.47362499999997,-0.55125,3
4,2.473,74.01,12:12:51.14,-0:53:42.2,2.459,12:12:56.06,-0:53:36.5,J2000,NA,NA,0.01399999999999979,1207.7273300505462,598.8065966867435,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,183.21308333333332,-0.8950555555555555,183.23358333333329,-0.8934722222222222,4
5,2.193,299.36,14:20:45.98,-0:5:18.0,2.193,14:20:55.61,-0:9:40.0,J2000,NA,NA,0.0,0.0,2475.7152935283693,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,215.1915833333333,-0.08833333333333333,215.23170833333333,-0.1611111111111111,5
6,2.014,117.22,16:12:37.9,+23:57:9.0,2.005,16:12:45.6,+23:58:0.0,J2000,NA,NA,0.008999999999999897,894.1664673297033,980.4770806101753,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,243.15791666666664,23.9525,243.18999999999997,23.966666666666665,6
7,2.127,244.99,17:30:14.71,+54:56:57.5,2.112,17:30:42.38,+54:56:1.1,J2000,NA,NA,0.01499999999999968,1437.7220950071562,2035.162547857117,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,262.56129166666665,54.949305555555554,262.6765833333333,54.933638888888886,7
8,1.93,49.52,23:9:11.88,-27:32:27.1,1.927,23:9:15.34,-27:32:45.3,J2000,NA,NA,0.0029999999999998916,306.3000733023682,416.0136581975062,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,347.2994999999999,-27.540861111111113,347.3139166666666,-27.545916666666667,8
9,1.883,24.82,11:7:25.7,+0:33:53.6,1.882,11:7:27.08,+0:34:7.3,J2000,NA,NA,0.001000000000000112,103.72939844011313,208.95186188358198,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,166.85708333333332,0.5648888888888889,166.86283333333333,0.5686944444444444,9
10,2.378,33.24,14:35:6.42,+0:9:1.5,2.378,14:35:8.32,+0:8:44.4,J2000,NA,NA,0.0,0.0,271.0699819530884,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,218.77675,0.15041666666666667,218.78466666666662,0.14566666666666667,10
